doi,licenseURL,licenseQID,start,end,qid,wdLicenseQID
10.1080/21505594.2017.1313372,http://creativecommons.org/licenses/by/4.0,Q20007257,2018-02-27T00:00:00Z,,Q39210862,http://www.wikidata.org/entity/Q20007257
10.1155/2017/5108525,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37742728,http://www.wikidata.org/entity/Q20007257
10.1155/2017/8381653,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q39316798,http://www.wikidata.org/entity/Q20007257
10.1080/15476286.2017.1306173,http://creativecommons.org/licenses/by-nc-nd/4.0/,Q24082749,2017-04-25T00:00:00Z,,Q39202138,http://www.wikidata.org/entity/Q24082749
10.1155/2017/4218254,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q39253896,http://www.wikidata.org/entity/Q20007257
10.1155/2017/7267910,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37744073,http://www.wikidata.org/entity/Q20007257
10.1155/2017/3485785,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q30234751,http://www.wikidata.org/entity/Q20007257
10.1155/2017/5742629,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q29994590,http://www.wikidata.org/entity/Q20007257
10.1155/2017/4810258,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q39249504,http://www.wikidata.org/entity/Q20007257
10.1155/2017/2672435,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37736400,http://www.wikidata.org/entity/Q20007257
10.1155/2017/1310265,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q39249730,http://www.wikidata.org/entity/Q20007257
10.1155/2017/8523728,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37733589,http://www.wikidata.org/entity/Q20007257
10.1155/2017/1092738,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37733630,http://www.wikidata.org/entity/Q20007257
10.1155/2017/9378325,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q30234846,http://www.wikidata.org/entity/Q20007257
10.1155/2017/1609575,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q41990459,http://www.wikidata.org/entity/Q20007257
10.1155/2017/7805058,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37733522,http://www.wikidata.org/entity/Q20007257
10.1155/2017/2562957,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q39242093,http://www.wikidata.org/entity/Q20007257
10.1155/2017/5905384,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q30234811,http://www.wikidata.org/entity/Q20007257
10.1155/2017/7064120,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q43376098,http://www.wikidata.org/entity/Q20007257
10.1080/15548627.2017.1291480,http://creativecommons.org/licenses/by-nc/3.0/,Q18810331,2017-03-20T00:00:00Z,,Q41867417,http://www.wikidata.org/entity/Q24082749
10.1080/13880209.2017.1302482,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q39182374,http://www.wikidata.org/entity/Q20007257
10.1155/2017/9218486,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q30234845,http://www.wikidata.org/entity/Q20007257
10.1155/2017/8047183,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q39236583,http://www.wikidata.org/entity/Q20007257
10.1155/2017/5189803,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q30234815,http://www.wikidata.org/entity/Q20007257
10.1177/0300060517698265,http://creativecommons.org/licenses/by-nc/3.0/,Q18810331,2017-03-16T00:00:00Z,,Q49345774,http://www.wikidata.org/entity/Q18810331
10.1155/2017/8021279,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q38845341,http://www.wikidata.org/entity/Q20007257
10.1155/2017/6869259,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37723673,http://www.wikidata.org/entity/Q20007257
10.1080/14760584.2017.1306441,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-03-24T00:00:00Z,,Q39177220,http://www.wikidata.org/entity/Q20007257
10.1155/2017/5601593,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37723678,http://www.wikidata.org/entity/Q20007257
10.1155/2017/1602074,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37717023,http://www.wikidata.org/entity/Q20007257
10.1155/2017/5019367,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q36339219,http://www.wikidata.org/entity/Q20007257
10.1155/2017/2913297,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q34554924,http://www.wikidata.org/entity/Q20007257
10.1155/2017/9328347,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37721027,http://www.wikidata.org/entity/Q20007257
10.1155/2017/9820181,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37721031,http://www.wikidata.org/entity/Q20007257
10.1155/2017/5420840,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q36339225,http://www.wikidata.org/entity/Q20007257
10.1155/2017/1689341,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q42136680,http://www.wikidata.org/entity/Q20007257
10.1155/2017/7075935,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q30234870,http://www.wikidata.org/entity/Q20007257
10.1080/19490976.2017.1299847,http://creativecommons.org/licenses/by-nc-nd/4.0/,Q24082749,2017-03-01T00:00:00Z,,Q42278538,http://www.wikidata.org/entity/Q24082749
10.1155/2017/1839809,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37721470,http://www.wikidata.org/entity/Q20007257
10.1155/2017/6504518,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37721427,http://www.wikidata.org/entity/Q20007257
10.1155/2017/2163053,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37721402,http://www.wikidata.org/entity/Q20007257
10.1155/2017/5958321,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q43153782,http://www.wikidata.org/entity/Q20007257
10.1080/14756366.2017.1295451,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q39168933,http://www.wikidata.org/entity/Q20007257
10.1155/2017/7903471,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q39217968,http://www.wikidata.org/entity/Q20007257
10.1155/2017/8584753,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q43376680,http://www.wikidata.org/entity/Q20007257
10.1080/13814788.2017.1284791,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-03-08T00:00:00Z,,Q38921597,http://www.wikidata.org/entity/Q20007257
10.1155/2017/1389475,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37714724,http://www.wikidata.org/entity/Q20007257
10.1080/13814788.2017.1288211,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-03-08T00:00:00Z,,Q39167882,http://www.wikidata.org/entity/Q20007257
10.1155/2017/1945630,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q30360189,http://www.wikidata.org/entity/Q20007257
10.1155/2017/5692583,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q39207507,http://www.wikidata.org/entity/Q20007257
10.1155/2017/3831972,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q36327600,http://www.wikidata.org/entity/Q20007257
10.1155/2017/2896380,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q29248967,http://www.wikidata.org/entity/Q20007257
10.1080/15476286.2017.1297914,http://creativecommons.org/licenses/by-nc-nd/4.0/,Q24082749,2017-04-05T00:00:00Z,,Q38925007,http://www.wikidata.org/entity/Q24082749
10.1155/2017/7371010,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37711718,http://www.wikidata.org/entity/Q20007257
10.1155/2017/6468309,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q39214522,http://www.wikidata.org/entity/Q20007257
10.1155/2017/6373412,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q39214448,http://www.wikidata.org/entity/Q20007257
10.1155/2017/3941898,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q39214536,http://www.wikidata.org/entity/Q20007257
10.1155/2017/5625371,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37703437,http://www.wikidata.org/entity/Q20007257
10.1155/2017/5453606,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q30360334,http://www.wikidata.org/entity/Q20007257
10.1155/2017/3407325,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q30148790,http://www.wikidata.org/entity/Q20007257
10.1155/2017/7804763,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q42316109,http://www.wikidata.org/entity/Q20007257
10.1155/2017/9217145,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q42317048,http://www.wikidata.org/entity/Q20007257
10.1155/2017/9826930,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37694191,http://www.wikidata.org/entity/Q20007257
10.1155/2017/1421326,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q38738864,http://www.wikidata.org/entity/Q20007257
10.1155/2017/8081758,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37694175,http://www.wikidata.org/entity/Q20007257
10.1155/2017/4729547,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q43376071,http://www.wikidata.org/entity/Q20007257
10.1155/2017/5140679,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37694197,http://www.wikidata.org/entity/Q20007257
10.1155/2017/1716701,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37700099,http://www.wikidata.org/entity/Q20007257
10.1155/2017/9747010,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37699862,http://www.wikidata.org/entity/Q20007257
10.1080/19490976.2017.1293224,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-02-27T00:00:00Z,,Q33821397,http://www.wikidata.org/entity/Q14947546
10.1155/2017/5035932,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q36324708,http://www.wikidata.org/entity/Q20007257
10.1155/2017/4385620,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q42317744,http://www.wikidata.org/entity/Q20007257
10.1155/2017/2197615,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37685690,http://www.wikidata.org/entity/Q20007257
10.1155/2017/1928021,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q30235175,http://www.wikidata.org/entity/Q20007257
10.1155/2017/3436943,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37689856,http://www.wikidata.org/entity/Q20007257
10.1155/2017/7973165,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q41982706,http://www.wikidata.org/entity/Q20007257
10.1080/21505594.2017.1286439,http://creativecommons.org/licenses/by-nc-nd/4.0/,Q24082749,2021-10-22T00:00:00Z,,Q39170360,http://www.wikidata.org/entity/Q24082749
10.1155/2017/3459468,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q30235157,http://www.wikidata.org/entity/Q20007257
10.1155/2017/8245345,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q39191765,http://www.wikidata.org/entity/Q20007257
10.1155/2017/7058082,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37689862,http://www.wikidata.org/entity/Q20007257
10.1155/2017/9729107,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37689828,http://www.wikidata.org/entity/Q20007257
10.1080/15548627.2017.1290751,http://creativecommons.org/licenses/by-nc/3.0/,Q18810331,2017-03-30T00:00:00Z,,Q33731804,http://www.wikidata.org/entity/Q18810331
10.1080/15476286.2017.1295905,http://creativecommons.org/licenses/by-nc-nd/4.0/,Q24082749,2017-03-31T00:00:00Z,,Q39170998,http://www.wikidata.org/entity/Q24082749
10.1155/2017/3597613,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37680966,http://www.wikidata.org/entity/Q20007257
10.1155/2017/9671604,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q39181244,http://www.wikidata.org/entity/Q20007257
10.1155/2017/3937254,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q29248080,http://www.wikidata.org/entity/Q20007257
10.1155/2017/6437467,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q39180915,http://www.wikidata.org/entity/Q20007257
10.1155/2017/3682752,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37681012,http://www.wikidata.org/entity/Q20007257
10.1155/2017/4275851,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37680955,http://www.wikidata.org/entity/Q20007257
10.1155/2017/8467192,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q37683642,http://www.wikidata.org/entity/Q20007257
10.1155/2017/7348919,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q42177845,http://www.wikidata.org/entity/Q20007257
10.1155/2017/9372050,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q42317997,http://www.wikidata.org/entity/Q20007257
10.1155/2017/7560236,http://creativecommons.org/licenses/by/4.0/,Q20007257,2017-01-01T00:00:00Z,,Q38887545,http://www.wikidata.org/entity/Q20007257
