qid,doi,wdLicenseQID
Q37686208,10.4103/0972-2327.199909,
Q37869736,10.4103/0970-9290.79977,
Q39903254,10.4103/1319-2442.178266,
Q41250062,10.4103/1319-2442.152491,
Q41851190,10.1590/S1677-5538.IBJU.2014.0596,
Q42114414,10.4103/0972-2327.144034,
Q47992695,10.4103/0970-4388.191408,
Q55359950,10.4103/JETS.JETS_22_17,
Q57972120,10.2298/GENSR1801209S,
Q84902790,10.4103/0971-9261.83489,
Q36612975,10.4103/0973-6131.105946,
Q37437575,10.1590/S1678-77572012000300010,
Q37790619,10.1590/S1678-77572010000300013,http://www.wikidata.org/entity/Q20007257
Q41005996,10.4103/0970-9185.188830,
Q41501446,10.4103/0972-124X.106919,
Q42693185,10.4103/0974-7796.150496,
Q45717763,10.4103/0971-9784.105363,
Q45766367,10.4103/0970-9290.118381,
Q115363638,10.12911/22998993/64447,
Q36493353,10.1159/000345226,
Q36794450,10.4103/0366-6999.156773,
Q37663550,10.4103/0366-6999.199828,
Q44935747,10.4103/0974-7796.216320,
Q45210414,10.4103/0377-4929.125359,
Q47173157,10.4103/0366-6999.221270,
Q47943252,10.4103/IJPM.IJPM_542_16,
Q84218582,10.4103/0377-4929.81623,
Q84967990,10.4103/0377-4929.85077,
Q85762498,10.4103/0377-4929.142727,
Q87216251,10.4103/0377-4929.116156,
Q93603052,10.4103/0972-2327.128642,
Q115364114,10.12911/22998993/596,
Q31040405,10.19082/1584,
Q37185449,10.4103/0366-6999.187842,
Q41081378,10.4103/0366-6999.209894,
Q41081469,10.4103/0366-6999.209898,
Q41876538,10.4103/0301-4738.103798,
Q43619061,10.1590/S0034-8910.2013047004674,
Q45233216,10.1590/S1677-55382004000600002,
Q48662547,10.21149/8073,http://www.wikidata.org/entity/Q42553662
Q37686265,10.4103/0972-124X.193165,
Q38669606,10.1159/000442347,
Q44446043,10.1590/S0066-782X2003000400003,
Q51998265,10.1590/S0004-282X2004000400018,
Q37565844,10.4103/0971-9261.194624,
Q38025621,10.4103/0974-2700.96479,
Q39210640,10.4103/0970-9185.130115,
Q41888295,10.4103/0974-8237.181877,
Q42737460,10.4103/0970-2113.76310,
Q42776349,10.1159/000329415,
Q80291950,10.1590/S1677-55382007000200010,
Q36183829,10.1590/S0034-89102005000300023,
Q37318812,10.4103/0970-0218.120155,
Q39135536,10.4103/0970-1591.194781,
Q39776267,10.4103/0970-1591.74432,
Q44779875,10.4103/0377-4929.125321,
Q50961585,10.4103/0377-4929.168866,
Q83709622,10.1590/S1516-31802011000100010,
Q84109868,10.1590/S0004-282X2009000200029,
Q84169716,10.1590/S0365-05962011000200004,
Q91522450,10.12890/2017_000714,
Q91580861,10.1097/CM9.0000000000000318,
Q91708696,10.1097/CM9.0000000000000327,
Q91782628,10.1097/CM9.0000000000000288,
Q91782636,10.1097/CM9.0000000000000287,
Q92119250,10.1097/CM9.0000000000000364,
Q92339275,10.1097/CM9.0000000000000377,
Q92790981,10.1097/CM9.0000000000000292,
Q35052387,10.4103/0019-5154.147799,
Q35113977,10.4103/0974-777X.150890,
Q38068172,10.4103/0974-7796.102669,
Q38678683,10.4103/0973-6131.205512,
Q41961410,10.4103/0971-4065.125046,
Q66085489,10.1590/S0101-90742012000100021,
Q77591430,10.1590/S0066-782X2002000100006,
Q35079046,10.4103/0974-620X.122280,
Q36575970,10.1590/S1677-5538.IBJU.2014.0392,
Q37091145,10.4103/0971-4065.114492,
Q42176521,10.4103/0019-5154.114002,
Q42779578,10.1590/S0100-72032010000700003,
Q42872351,10.4103/0301-4738.83631,
Q45099855,10.1590/S0004-282X2004000500034,
Q47724706,10.4103/IJPM.IJPM_445_16,
Q53743605,10.1590/S0034-89101973000100005,
Q58147725,10.1590/1678-457X.6813,
Q60279420,10.1590/S0366-69132010000200004,
Q70796337,10.1590/S0034-89101995000200006,
Q71118251,10.1590/S0034-89101981000500008,
Q72778265,10.1590/S0034-89101993000100008,
Q72900480,10.1590/S0034-89101994000100004,
Q77978231,10.1590/S0004-282X2002000100018,
Q87681644,10.4103/0971-9784.129821,
Q90987625,10.21149/10078,http://www.wikidata.org/entity/Q42553662
Q92208301,10.21149/10549,http://www.wikidata.org/entity/Q42553662
Q92208360,10.21149/10996,http://www.wikidata.org/entity/Q42553662
Q103836891,10.24875/ACM.20000303,
Q33620381,10.19082/3776,
Q36589110,10.4103/0366-6999.168080,
Q37228474,10.4103/0366-6999.189058,
Q39102666,10.4103/0970-9290.195625,
Q39279476,10.19082/3803,
Q40151827,10.4103/0974-777X.154450,
Q42566194,10.4103/0019-5154.92691,
Q47130721,10.1159/000481706,
Q49352735,10.4103/0973-6131.213472,
Q50488715,10.1590/S0034-89102013000700005,
Q53154336,10.1590/S0004-282X2007000700006,
Q55423988,10.4103/0366-6999.233947,
Q55429376,10.4103/0366-6999.233767,
Q64260876,10.1159/000493851,
Q80844864,10.1590/S0004-282X2004000500018,
Q81061812,10.1590/S0004-282X2005000200031,
Q82713880,10.4103/0970-9290.90334,
Q92208326,10.21149/10752,http://www.wikidata.org/entity/Q42553662
Q26825217,10.4103/1319-2442.128549,
Q33160985,10.4103/0972-2327.91960,
Q36817722,10.4103/0972-2327.107662,
Q39616558,10.4103/0971-9784.185522,
Q42255598,10.4103/1319-2442.121280,
Q51275845,10.1159/000452594,
Q80451521,10.1590/S0034-89102004000400017,
Q87989906,10.1590/1516-3180.2017.0209100917,
Q101389949,10.4103/IJPM.IJPM_20_20,
Q101389970,10.4103/IJPM.IJPM_26_20,
Q112774360,10.1590/S0102-33062010000300007,
Q33995491,10.4103/0970-1591.134237,
Q35564454,10.4103/0971-9261.86863,
Q37537606,10.1590/1678-775720130365,
Q39193163,10.4103/0257-7941.150782,
Q40560518,10.1159/000438506,
Q100498924,10.1097/CM9.0000000000001157,
Q30440579,10.1590/S1678-77572011000600008,
Q35215196,10.4103/0019-5154.152510,
Q38549853,10.4103/0019-5154.84730,
Q40161205,10.1159/000458406,
Q40838813,10.4103/0019-5049.108577,
Q42104165,10.4103/0970-1591.52940,
Q42530809,10.1159/000446508,
Q42728771,10.4103/0972-2327.132630,
Q42910466,10.4103/0019-5154.139908,
Q50137959,10.1590/S1677-55382004000500006,
Q51145051,10.4103/0970-9290.131163,
Q55346248,10.1159/000489008,
Q81513020,10.1590/S1677-55382005000100011,
Q84218517,10.4103/0377-4929.81638,
Q84785712,10.1590/S0066-782X2010000300016,
Q85575735,10.1590/S0100-72032012000900003,
Q87210923,10.1159/000368545,
Q92344839,10.12890/2019_001256,
Q100750918,10.1159/000508357,
Q112774303,10.1590/S1516-89132009000300011,
Q114568518,10.34133/2021/6185616,http://www.wikidata.org/entity/Q20007257
Q35966745,10.4103/0970-2113.95329,
Q36154402,10.1590/S0034-8910.2015049006028,
Q37113600,10.4103/0189-6725.160354,
Q42244883,10.4103/0019-5154.97689,
Q36134412,10.4103/0973-6131.98232,
Q39947126,10.14712/18059694.2016.102,
Q42535967,10.1590/S1677-5538.IBJU.2016.03.01,
Q42562171,10.4103/0019-5049.115606,
Q50120115,10.21149/8326,http://www.wikidata.org/entity/Q42553662
Q52596681,10.1590/S0034-89102002000200020,
Q61456042,10.1159/000495458,
Q86537174,10.1590/S0004-28032014000400013,
Q34591516,10.4103/0019-5154.143527,
Q36771769,10.4103/0971-9261.107003,
Q37491862,10.4103/0972-6748.123612,
Q38505323,10.4103/0972-2327.144284,
Q40912766,10.4103/0972-124X.145830,
Q41971106,10.4103/0970-9185.117049,
Q42341581,10.4103/0970-9185.194772,
Q45997073,10.1590/S0034-70942006000600002,
Q47884089,10.4103/0971-9784.129878,
Q48783138,10.1590/S0365-05962011000700048,
Q51023334,10.1590/S0004-282X2010000600006,
Q51621097,10.1590/S0365-05962009000300009,
Q64040153,10.1590/S0365-05962012000200027,
Q79290801,10.1590/S0066-782X2006001600009,
Q83225837,10.1590/S0004-282X2010000600023,
Q104479633,10.1097/CM9.0000000000001265,
Q104479644,10.1097/CM9.0000000000001326,
Q40290429,10.4103/0377-4929.94858,
Q41488597,10.1159/000478890,
Q43548102,10.4103/0377-4929.107780,
Q43758096,10.14712/18059694.2014.33,
Q58125761,10.5423/PPJ.OA.04.2018.0059,
Q115363306,10.12911/22998993/67851,
Q115363604,10.12911/22998993/64507,
Q34699072,10.4103/0974-777X.145251,
Q41484290,10.4103/0019-5049.111872,
Q42200605,10.4103/0974-2700.161663,
Q44960258,10.4103/0189-6725.115040,
Q62131529,10.1590/S1806-37132012000500005,
Q62390118,10.2298/ABS0702001M,
Q84169811,10.1590/S0365-05962011000200040,
Q37093603,10.4103/0022-3859.180571,
Q39015362,10.4103/1319-2442.198165,
Q39682807,10.4103/0974-777X.59257,
Q48021385,10.4103/0971-9784.109744,
Q71113774,10.1590/S0034-89101981000600003,
Q26825819,10.4103/0019-5049.120145,
Q38596810,10.4103/0019-5154.174098,
Q41966577,10.4103/0019-5154.193693,
Q93087815,10.4103/1319-2442.261335,
Q93088058,10.4103/1319-2442.261335,
Q111811153,10.1590/S1516-89132006000600013,
Q24273329,10.4103/0257-7941.160861,
Q37524516,10.1590/S1677-55382009000300002,
Q38604800,10.19082/4503,
Q40206744,10.4103/0189-6725.132836,
Q42364212,10.19082/4942,
Q42373091,10.19082/5244,
Q90599242,10.1159/000490758,
Q34909575,10.4103/0301-4738.146747,
Q35052370,10.4103/0019-5154.147784,
Q35920858,10.1159/000337491,
Q37241076,10.4103/0971-4065.176145,
Q39662929,10.1590/S0034-89101978000300007,
Q40568507,10.4103/0970-1591.91433,
Q42137545,10.4103/0970-1591.70594,
Q48724491,10.4103/0970-9290.167642,
Q58585045,10.4103/0366-6999.243572,
Q58585052,10.4103/0366-6999.243573,
Q58763935,10.4103/0366-6999.239312,
Q60942947,10.4103/0366-6999.247212,
Q62397406,10.2298/FID1503652D,
Q74299979,10.1590/S0034-89101997000200017,
Q83043573,10.1590/S1806-37132008001100011,
Q30680596,10.1590/0004-282X201301461,
Q42152844,10.4103/0974-8237.116538,
Q42734641,10.1590/S1518-8787.2016050006285,
Q44645713,10.5935/1808-8694.20130131,
Q46564392,10.1590/S0066-782X2008000400010,
Q59288993,10.1590/S0104-12902014000400028,
Q64990886,10.12890/2017_000542,
Q81631356,10.1590/S1806-37132008000600003,
Q83172140,10.1590/S0004-28032010000400004,
Q33786972,10.1590/S1678-77572009000700019,
Q36458634,10.4103/0019-5154.103084,
Q42084905,10.1590/S1678-77572007000400002,
Q42587565,10.4103/0971-4065.116328,
Q48114362,10.1590/S1806-37132011000400011,
Q48680698,10.1590/S1806-37132011000200008,
Q37707784,10.4103/0970-1591.126915,
Q40304465,10.4103/0970-9290.90325,
Q42156696,10.4103/0970-1591.45546,
Q60666172,10.12911/22998993/63479,
Q84805175,10.2298/SARH1106390C,
Q35173116,10.1590/S1677-5538.IBJU.2014.02.04,
Q36072206,10.14661/2015.1108-1113,
Q36834024,10.19082/2094,
Q37777454,10.1590/S0034-70942010000300013,
Q39409163,10.4103/0301-4738.190140,
Q39880533,10.19082/1850,
Q40040591,10.4103/0019-5154.131405,
Q41964562,10.4103/0970-0218.96104,
Q42103401,10.4103/0972-124X.94616,
Q42238701,10.4103/0019-5049.183384,
Q42947986,10.1590/S0034-70942010000300003,
Q57142045,10.4103/JMU.JMU_11_18,
Q57195067,10.1590/S0102-33062008000100007,
Q58327132,10.1590/S0101-20612008000500023,
Q59298336,10.1016/S0123-5923(08)70029-9,
Q80983650,10.1590/S1677-55382007000400021,
Q81282418,10.1590/S0066-782X2004001800002,
Q91676882,10.4103/JISPPD.JISPPD_27_18,
Q91676911,10.4103/JISPPD.JISPPD_4_18,
Q34720358,10.4103/0971-9261.145556,
Q36458597,10.4103/0019-5154.103066,
Q37136131,10.19082/2568,
Q37980668,10.1590/S0004-282X2011000700025,
Q38586155,10.4103/0972-4052.161072,
Q40419701,10.1590/S1677-55382008000200006,
Q48456937,10.4103/1319-2442.144256,
Q51831060,10.1590/0004-282X20140020,
Q53676760,10.2298/SARH1504210L,
Q59305134,10.1590/S0103-90162003000100030,
Q87902508,10.2298/SARH1404170T,
Q88045140,10.2298/SARH1604232P,
Q27025206,10.1590/S0365-05962012000200007,
Q33776790,10.1159/000312986,
Q38104593,10.4103/0019-557X.111357,
Q39077520,10.4103/0972-124X.170817,
Q39996785,10.4103/0974-2700.145393,
Q40415034,10.4103/0970-9290.167624,
Q41769356,10.4103/0971-9261.161040,
Q42242072,10.4103/0971-9261.154660,
Q51267499,10.4103/0970-9290.195642,
Q60297020,10.2298/ABS1103649J,
Q82301648,10.1590/S1678-77572004000300007,
Q83381803,10.1590/S0004-282X2011000700031,
Q34342175,10.1590/S0066-782X2001000800006,
Q34386347,10.1590/S0034-8910.2014048004822,
Q34407163,10.4103/0971-4065.125102,
Q35052391,10.4103/0019-5154.147801,
Q46418368,10.1590/S0004-28032004000400009,
Q73808317,10.1590/S0066-782X2001000400008,
Q90403281,10.19082/6935,
Q90403305,10.19082/6974,
Q33422511,10.4103/0019-5049.155006,
Q33787005,10.1590/S1678-77572009000700011,
Q34153351,10.4103/0974-8237.139207,
Q37113578,10.4103/0189-6725.160356,
Q38259895,10.4103/0970-9185.83693,
Q38991621,10.4103/0972-2327.128665,
Q44465746,10.1590/0004-282X20130137,
Q46540850,10.4103/0970-9290.183116,
Q57274794,10.1590/S0365-05962005000100012,
Q57993693,10.1590/S0066-782X2002000500013,
Q84609604,10.2298/SARH1206350S,
Q87905518,10.4103/0189-6725.132835,
Q114959648,10.17851/1983-3652.9.2.219-230,
Q115367646,10.12911/22998993/132428,
Q36377706,10.4103/0301-4738.100545,http://www.wikidata.org/entity/Q15643954
Q36939624,10.4103/0971-9784.159827,
Q39779073,10.4103/0019-5154.177798,
Q41488462,10.1159/000477563,
Q41831307,10.4103/0019-5154.103071,
Q42644637,10.4103/0019-5154.117346,
Q47267361,10.1590/1516-3180.2017.0169180917,
Q48407023,10.1590/S0004-282X2012000800001,
Q48480428,10.1590/S0004-282X2006000600014,
Q53165911,10.4103/0971-9784.95078,
Q56784558,10.1590/S1806-37132008000600015,
Q82051219,10.1590/S0004-282X2008000400009,
Q84854883,10.1590/S0004-282X2011000500014,
Q115362640,10.12911/22998993/86156,
Q33884859,10.4103/0970-1591.60440,
Q34059592,10.1159/000313341,
Q35913644,10.4103/0019-5049.160967,
Q36354725,10.4103/0970-0218.99909,
Q37566553,10.4103/0301-4738.121180,
Q41894367,10.4103/0301-4738.181737,
Q41908899,10.4103/0019-5049.186013,
Q42256695,10.1590/S1678-77572010000400011,
Q42364208,10.4103/0972-2327.186856,
Q43467545,10.14712/18059694.2014.18,
Q45997058,10.1590/S0034-70942006000600009,
Q47699131,10.1183/16000617.0072-2017,
Q58845629,10.1590/S0066-782X2005000200008,
Q59416828,10.1590/S0101-20612007000400011,
Q59594088,10.1590/S0047-20852007000400007,
Q60489948,10.1590/S1516-89132004000200003,
Q67214104,10.1590/S0102-33062008000300016,
Q77850087,10.1590/S0004-28032001000300005,
Q84540036,10.4103/0377-4929.97869,
Q90206353,10.1159/000500241,
Q90841899,10.4103/UA.UA_185_17,
Q42140545,10.4103/0974-620X.94797,
Q67252413,10.1590/S0034-89101990000500006,
Q84561871,10.14712/18059694.2016.103,
Q34652743,10.1159/000351791,
Q35998239,10.1159/000337576,
Q41843214,10.1159/000315865,
Q84174629,10.1590/S0100-72032009000400004,
Q34671827,10.5423/PPJ.NT.08.2014.0073,
Q45775432,10.4103/0970-9290.123361,
Q46800274,10.1590/S0066-782X2005001700006,
Q114041191,10.24875/RCCAR.M21000084,
Q35574206,10.1159/000334128,
Q35820945,10.4103/0974-2700.93095,
Q36481273,10.4103/0974-7796.171492,
Q37314210,10.4103/0972-6748.119595,
Q43230543,10.1590/S0365-05962011000500020,
Q46177994,10.1590/S0365-05962011000300007,
Q47600383,10.1590/S0365-05962012000300005,
Q57788016,10.4103/1319-2442.113908,
Q61700044,10.1590/S0103-90162008000200016,
Q35228480,10.4103/0019-5049.153039,
Q42780170,10.4103/0019-5049.181619,
Q57674127,10.1590/S1516-89132009000200012,
Q28071691,10.1590/1413-785220152306148609,
Q34023474,10.1159/000365141,
Q35981025,10.1590/S0034-8910.2015049005585,
Q36643279,10.1590/1413-785220152306151402,
Q41467081,10.1590/0004-282X20150117,
Q48726455,10.1590/SO100-720320150005361,
Q51015327,10.1590/S1677-5538.IBJU.2014.06.06,
Q82208353,10.1590/S0004-282X2005000600022,
Q86484484,10.1590/SO100-720320150005472,
Q33650792,10.1590/1413-78522014220200844,
Q35848404,10.4103/0301-4738.159879,
Q38533052,10.1590/S1677-5538.IBJU.2013.0148,
Q41707095,10.1590/S0100-720320140005081,
Q30235230,10.4103/0366-6999.201598,http://www.wikidata.org/entity/Q15643954
Q33755640,10.4103/0366-6999.206348,
Q36223116,10.4103/0970-9290.195644,
Q44059104,10.4103/0366-6999.216396,
Q48266809,10.1590/0004-282X20140047,
Q60297010,10.2298/GENSR1402601D,
Q82588694,10.1590/S1677-55382011000500008,
Q87365588,10.1590/S0100-7203201400050003,
Q34101428,10.4103/0974-777X.138514,
Q34242487,10.5423/PPJ.NT.10.2013.0099,
Q34665104,10.1590/SO100-720320140005078,
Q36643149,10.1590/1413-785220152305148842,
Q38193157,10.14712/18059694.2014.15,
Q39221192,10.1590/0004-282X20130245,
Q41239328,10.4103/0970-1591.159512,
Q41601105,10.1159/000479499,
Q46257222,10.1590/1516-3180.2017.0138290517,
Q47633379,10.1590/1516-3180.2016.0345120617,
Q56797828,10.1590/S0100-720320140005007,
Q58841775,10.1590/SO100-720320150005415,
Q85795246,10.1590/SO100-720320140005029,
Q86557998,10.1590/0004-282X20130156,
Q87905528,10.4103/0189-6725.132858,
Q34574650,10.4103/0301-4738.143947,
Q34609204,10.1590/S0004-282X2009000200032,
Q37589768,10.4103/0971-4065.125043,
Q40268296,10.1590/SO100-720320150005132,
Q40386198,10.4103/0189-6725.194673,
Q41879737,10.4103/0970-9185.111680,
Q43126448,10.4103/0019-5154.169163,
Q50670113,10.1590/S0034-89102000000600012,
Q53487210,10.1590/S1806-37132006000600008,
Q53805110,10.4103/0970-9290.172019,
Q58161052,10.1590/1809-4392201401533,
Q38298933,10.1590/SO100-720320150005252,
Q38493614,10.1590/SO100-720320150005077,
Q41846408,10.1590/1413-78522015230101023,
Q57261991,10.1590/1809-4392201402894,
Q86708344,10.4103/1319-2442.111076,
Q87436091,10.4103/1319-2442.128512,
Q100416854,10.1097/JP9.0000000000000048,
Q101390026,10.4103/IJPM.IJPM_432_19,
Q35052258,10.4103/0019-5154.147846,
Q36106130,10.4103/0971-4065.147370,
Q82208366,10.1590/S0004-282X2005000600024,
Q91523010,10.12890/2018_000724,
Q104962138,10.1590/S0044-59672007000100011,
Q37193716,10.4103/0973-6247.187938,
Q39716832,10.1159/000362640,
Q43076694,10.4103/0971-9261.171931,
Q33835855,10.4103/0970-1591.74454,
Q34104642,10.4103/0019-5049.65370,
Q35651852,10.4103/0972-2327.150611,
Q35774406,10.4103/0970-0218.158876,
Q38597136,10.4103/0974-7796.84965,
Q38867634,10.4103/0970-9185.175721,
Q43514543,10.4103/0022-3859.128799,
Q45738741,10.1590/S1677-55382012000500011,
Q46907933,10.1590/S0066-782X2007001600007,
Q50659903,10.4103/0970-4388.135824,
Q82860806,10.1590/S0100-72032010000700001,
Q87290550,10.4103/0970-9290.116687,
Q50788268,10.1590/S0034-89101992000600003,
Q51364151,10.1590/0004-282X20150215,
Q57099821,10.1590/S0365-05962010000100006,
Q83856081,10.1590/S0034-89102006000800010,
Q91523158,10.12890/2018_000861,
Q37550990,10.4103/0974-2700.125633,
Q37634859,10.1159/000453332,
Q38014824,10.1159/000338626,
Q41825965,10.1590/1678-7757201302256,
Q42446355,10.19082/2410,
Q35682462,10.14661/2015.990-997,
Q36623769,10.19082/1727,
Q36623827,10.19082/1817,
Q37136082,10.19082/2475,
Q38509237,10.5423/PPJ.OA.05.2015.0091,
Q40108440,10.19082/1427,
Q52592953,10.1159/000485965,
Q61952278,10.12911/22998993/61193,
Q24635864,10.4103/0019-5154.84734,
Q35522561,10.4103/0970-9290.147118,
Q39256314,10.1159/000332195,
Q50041723,10.4103/0377-4929.81604,
Q73284540,10.1590/S0034-89102003000200010,
Q87428684,10.4103/0377-4929.174881,
Q115363716,10.12911/22998993/63478,
Q36159423,10.4103/0976-7800.165597,
Q36939604,10.4103/0971-9784.159803,
Q39051690,10.4103/0301-4738.86320,
Q40113179,10.1590/S0034-89102013000700006,
Q44703020,10.1590/S0034-89101991000100012,
Q50870887,10.1590/S1806-37132007000400006,
Q84066615,10.1590/S1677-55382012000200015,
Q90328353,10.1159/000489083,
Q39490724,10.4103/0973-6247.106714,
Q42143183,10.4103/0973-6247.150934,
Q78022569,10.1590/S0034-89101999000200012,
Q82716720,10.1590/S0066-782X2011001300014,
Q35444311,10.1590/S1678-77572009000300012,
Q35999663,10.4103/0301-4738.158533,
Q37054329,10.4103/0019-5154.113950,
Q37108547,10.4103/2230-8229.114769,
Q37584966,10.4103/0970-2113.197115,
Q40758480,10.1590/S0034-89102000000200005,
Q41989213,10.4103/0972-124X.157875,
Q60812990,10.1590/S1516-31802011000100013,
Q78392503,10.1590/S0066-782X2002001200014,
Q80423239,10.1590/S0066-782X2007000400029,
Q80522043,10.1590/S0066-782X2007000500005,
Q37352730,10.1590/S1678-77572008000200002,http://www.wikidata.org/entity/Q18810331
Q42423398,10.4103/0019-5049.68387,
Q58215217,10.1590/1809-2950/50421022014,
Q85958046,10.4103/1319-2442.144249,
Q33725251,10.4103/0973-6247.130948,
Q42947420,10.1590/1413-78522014220500884,
Q61839329,10.1590/SO100-720320140005087,
Q39262320,10.4103/0970-9185.81831,
Q57083188,10.4103/0972-9062.234623,
Q86286177,10.4103/0972-2327.144042,
Q33728776,10.1590/S1678-77572004000400021,
Q35423143,10.4103/0970-1591.154297,
Q37595590,10.4103/0972-6748.196054,
Q38558217,10.4103/0974-7796.158506,
Q51115348,10.4103/1319-2442.139869,
Q53137564,10.1590/S1806-37132011000600019,
Q57179454,10.1590/0031-1049.2014.54.14,
Q61039722,10.1590/S0034-76122013000400004,
Q79777664,10.1590/S0034-89102006000600026,
Q84629736,10.1590/S0034-89102010000400022,
Q87213953,10.4103/0970-4388.175526,
Q36721979,10.1590/S0066-782X2006001900029,
Q39191519,10.4103/0019-5049.153043,
Q30557903,10.1590/S0004-28032012000200002,
Q35813399,10.4103/0970-9290.167628,
Q36820842,10.4103/0974-7796.164852,
Q43710991,10.4103/0022-3859.128829,
Q44408182,10.4103/0189-6725.104724,
Q45995382,10.1590/S0034-70942004000400006,
Q57629203,10.1590/S0101-20612014005000008,
Q33919447,10.4103/0019-5154.135535,
