qid,title
Q56024630,"Zwei neue <i>Ausobskya</i>-Arten aus Griechenland: <i>A. mahnerti</i> sp. n. und <i>A. hauseri</i> sp. n. (Arachnoidea, Opiliones)"
Q42697404,"<i>Alectopsylla unisetosa</i> nov. gen., nov. spec. (Siphonaptera, Ischnopsyllidae) from Argentina."
Q56001080,"The Anatomy of <i>Effigia okeeffeae</i> (Archosauria, Suchia), Theropod-like Convergence, and the Distribution of Related Taxa"
Q56034746,"The systematic position of the Amazonian species of <i>Albiorix</i> (Pseudoscorpiones, Ideoroncidae)"
Q56021831,"Un <i>Metastivalius</i> nouveau de Nouvelle-Irlande (Siphonaptera, Pygiopsyllidae)"
Q56023435,Diploures Campodéidés (Insectes) de Grèce (1<sup>ère</sup> note)
Q56072476,Nouvelles espèces asiatiques du genre <i>Bryaxis</i> et quelques données sur des espèces connues (Coleoptera: Staphylinidae: Pselaphinae)
Q56785462,"The use of molecular and morphological characters to resolve the taxonomic identity of cryptic species: the case of <i>Miniopterus manavi</i> (Chiroptera, Miniopteridae)"
Q57498448,"Effects of Salinity on Survival and Growth of Gurami Sago (<I>Osphronemus goramy</I>, Lacepède, 1801) Juveniles"
Q60151757,"New species of <i>Pogonophryne</i> (Pisces, Artedidraconidae) from the Bellingshausen Sea, Antarctica"
Q60287618,Plasmonic enhancement of second harmonic generation from nonlinear RbTiOPO<sub>4</sub> crystals by aggregates of silver nanostructures
Q61466180,"A Swiss record of <i>Oxycarenus pallens</i> (Herrich-Schäffer, 1850) (Hemiptera: Heteroptera, Lygaeidae)"
Q61994430,"Kala-Azar in Madras, especially with regard to its connexion with the dog and the bug (<i>Conorrhinus</i>)."
Q56024542,"<i>Microplana mahnerti</i> n. sp., a new Terrestrial Planarian from Jura Mts. (Turbellaria Tricladida Rhynchodemidae)"
Q64157095,<i>Microsomacanthus kaulobatroni</i> n. sp. et <i>Wardium neotropicale</i> n. sp. parasites d'</i>Himantopus melanurus</i> du Paraguay
Q65953939,"Morphology and mitochondrial DNA sequences show that <i>Plecotus alpinus</i> Kiefer & Veith, 2002 and <i>Plecotus microdontus</i> Spitzenberger, 2002 are synonyms of <i>Plecotus macrobullaris</i> Kuzjakin, 1965"
Q65993448,"Systematic status of African populations of long-eared bats, genus <i>Plecotus</i> (Mammalia: Chiroptera)"
Q66107364,<i>Plecotus macrobullaris</i> – new bat species for Albanian fauna (Chiroptera: Vespertilionidae)
Q66133498,On the phylogeny of <i>Miniopterus schreibersii schreibersii</i> and <i>Miniopterus schreibersii pallidus</i> from Asia Minor in reference to other <i>Miniopterus</i> taxa (Chiroptera: Vespertilionidae)
Q66124417,"Use of vision in prey detection by brown long-eared bats, <i>Plecotus auritus</i>"
Q66106811,Situazione del genere <i>Plecotus</i> (Chiroptera) nel Cantone Ticino (Svizzera)
Q66742304,Identification of <i>Hippolais</i> warblers
Q68139987,MOIRCS deep survey. II. Clustering properties of <i>K</i>-band selected  galaxies in GOODS-north region
Q70579740,"Las revistas <i>Militancia Peronista para la Liberación</i> y <i>De Frente, con las Bases Peronistas</i>: una propuesta ""alternativa"" para la identidad política del peronismo revolucionario, 1973-1974"
Q70579740,"Las revistas <i>Militancia Peronista para la Liberación</i> y <i>De Frente, con las Bases Peronistas</i>: una propuesta ""alternativa"" para la identidad política del peronismo revolucionario, 1973-1974"
Q74827375,Integrated process and solvent design for CO<sub>2</sub> capture using Continuous Molecular Targeting - Computer Aided Molecular Design (CoMT-CAMD)
Q74827118,Next Generation Automotive DeNO<sub>X</sub> Catalysts: Ceria What Else?
Q30658047,"Proposal of the genera <i>Anaerococcus</i> gen. nov., <i>Peptoniphilus</i> gen. nov. and <i>Gallicola</i> gen. nov. for members of the genus <i>Peptostreptococcus</i>"
Q30927424,Mitochondrial phylogeography of the long-eared bats (<i>Plecotus</i>) in the Mediterranean Palaearctic and Atlantic Islands
Q35752777,"<i>Pantoea intestinalis</i> sp. nov., isolated from the human gut"
Q38872779,Scheme for generating distillation-favorable continuous-variable entanglement via three concurrent parametric down-conversions in a single χ<sup>(2)</sup> nonlinear photonic crystal.
Q38925348,The Influence of Co-Ligands on Improving Tumor Targeting of <sup>99m</sup>Tc-HYNIC Conjugated Peptides.
Q39172608,"Deaths in Unlicensed Alcohol Rehabilitation Facilities<sup>†,‡</sup>"
