qid,title
Q56078634,Fabrication of large diameter external-diffusion processed Nb&lt;inf&gt;3&lt;/inf&gt;Sn composites
Q56067136,"The Programmatic Message of the &quot;Kings and Singers&quot; Passage: Hesiod, Theogony 80-103"
Q56228770,The &quot;Hardy Brats&quot; and Their Foolhardy Creator
Q56228742,Who Is the &quot;Mother of Exiles&quot;? An Inquiry into Jewish Aspects of Emma Lazarus's &quot;The New Colossus&quot;
Q56458307,HESS Opinions: Science in today's media landscape &ndash; challenges and lessons from hydrologists and journalists
Q56535739,Communication matters &ndash; network constellations in entrepreneurship
Q56578163,Resolving vorticity-driven lateral fire spread using the WRF-Fire coupled atmosphere&ndash;fire numerical model
Q56621734,Some integrals involving the&lt;tex&gt;Q_M&lt;/tex&gt;function (Corresp.)
Q56748462,A new method for atmospheric detection of the CH&lt;sub&gt;3&lt;/sub&gt;O&lt;sub&gt;2&lt;/sub&gt; radical
Q56748999,A new method for atmospheric detection of the CH&lt;sub&gt;3&lt;/sub&gt;O&lt;sub&gt;2&lt;/sub&gt; radical
Q56748367,An intercomparison of HO&lt;sub&gt;2&lt;/sub&gt; measurements by fluorescence assay by gas expansion and cavity ring-down spectroscopy within HIRAC (Highly Instrumented Reactor for Atmospheric Chemistry)
Q56873758,"Reactivity of [{Mn(IV)(salpn)}(2)(&mgr;-O,&mgr;-OCH(3))](+) and [{Mn(IV)(salpn)}(2)(&mgr;-O,&mgr;-OH)](+): Effects of Proton Lability and Hydrogen Bonding"
Q56992807,"Development of Myxobolus portucalensis Saraiva & Moln&aacute;r, 1990 (Myxosporea: Myxobolidae) in the oligochaete Tubifex tubifex (Müller)"
Q56991014,DO&lt;sub&gt;3&lt;/sub&gt;SE modelling of soil moisture to determine ozone flux to forest trees
Q56992580,Matrix metalloproteinase-2 and -9 secretion by the human JAR choriocarcinoma cell line is stimulated by TNF-&lt;i&gt;α&lt;/i&gt;
Q19228024,О внесении изменения в Указ Президента Российской Федерации от 11 июля 2004 г. №&nbsp;865 «Вопросы Министерства иностранных дел Российской Федерации»
Q21715934,&quot;Portrait of Count Alexey Arakcheyev&quot;
Q21722625,&quot;Portrait of Princess D.Gorchakova&quot;
Q21722869,&quot;Portrait of Field-Marshal Mikhail Kutuzov&quot;
Q21724062,&quot;Portrait of E.A. Lieven&quot;
Q21725234,&quot;Portrait of A.P. Mailevskaya with Her Daughter&quot;
Q21725662,&quot;Portrait of an Unknown Man from the Ogariov Family&quot; (Platon Bogdanovich Ogariov? )
Q21727614,&quot;Portrait of an Unknown Woman&quot;
Q21727691,&quot;Portrait of the Artist E.Lipgart&quot;
Q21727859,&quot;Portrait of an Unknown Woman&quot;
Q21730890,&quot;Portrait of Grand Duke Alexander Pavlovich&quot;
Q21716762,Decorative Panel ''Trophies and Cupids&quot;
Q21725132,Scene &quot;The Adoration of the Shepherds&quot; Framed with a Garland of Flowers
Q57046553,Coupling δ&lt;sup&gt;2&lt;/sup&gt;H and δ&lt;sup&gt;18&lt;/sup&gt;O biomarker results yields information on relative humidity and isotopic composition of precipitation &ndash; a climate transect validation study
Q57199468,A new instrument for stable isotope measurements of &lt;sup&gt;13&lt;/sup&gt;C and &lt;sup&gt;18&lt;/sup&gt;O in CO&lt;sub&gt;2&lt;/sub&gt; – instrument performance and ecological application of the Delta Ray IRIS analyzer
Q57204256,Co-Inoculation of Soybean with &lt;i&gt;Bradyrhizobium&lt;/i&gt; and &lt;i&gt;Azospirillum&lt;/i&gt; Promotes Early Nodulation
Q57251016,"Daytime HONO, NO&lt;sub&gt;2&lt;/sub&gt; and aerosol distributions from MAX-DOAS observations in Melbourne"
Q57251019,"Daytime HONO, NO&lt;sub&gt;2&lt;/sub&gt; and aerosol distributions from MAX-DOAS observations in Melbourne"
Q57242193,Inferences from CO&lt;sub&gt;2&lt;/sub&gt; and CH&lt;sub&gt;4&lt;/sub&gt; concentration profiles at the Zotino Tall Tower Observatory (ZOTTO) on regional summertime ecosystem fluxes
Q57256939,New estimates of direct N&lt;sub&gt;2&lt;/sub&gt;O emissions from Chinese croplands from 1980 to 2007 using localized emission factors
Q57262816,Response of &delta;&lt;sup&gt;13&lt;/sup&gt;C in plant and soil respiration to a water pulse
Q57275467,"Redescription of &lt;i&gt;Digalodon rubidgei&lt;/i&gt;, an emydopoid dicynodont (Therapsida, Anomodontia) from the Late Permian of South Africa"
Q57411829,"Influence of groundwater on distribution of dwarf wedgemussels (&lt;i&gt;Alasmidonta heterodon&lt;/i&gt;) in the upper reaches of the Delaware River, northeastern USA"
Q57372782,The empirical relationship between satellite-derived tropospheric NO&lt;sub&gt;2&lt;/sub&gt; and fire radiative power and possible implications for fire emission rates of NO&lt;sub&gt;x&lt;/sub&gt;
Q57445204,OMI NO&lt;sub&gt;2&lt;/sub&gt; column densities over North American urban cities: the effect of satellite footprint resolution
Q57443069,"Variable lifetimes and loss mechanisms for NO&lt;sub&gt;3&lt;/sub&gt; and N&lt;sub&gt;2&lt;/sub&gt;O&lt;sub&gt;5&lt;/sub&gt; during the DOMINO campaign: contrasts between marine, urban and continental air"
Q57518858,Construction of a Constitutively Activated Gα Mutant in the Maize Pathogen &lt;i&gt;Cochliobolus heterostrophus&lt;/i&gt;
Q57520150,"Synthesis, crystal structure and conductive properties of garnet-type lithium ion conductor Al-free Li 7&minus; x La 3 Zr 2&minus; x Ta x O 12 (0 &le; x &le; 0.6)"
Q57575504,Brief Communication: Contending estimates of 2003&ndash;2008 glacier mass balance over the Pamir–Karakoram–Himalaya
Q57537511,Modeling SOA formation from the oxidation of intermediate volatility &lt;i&gt;n&lt;/i&gt;-alkanes
Q57674729,"A Comprehensive Analytical Evaluation of the Trivedi Effect&lt;sup&gt;®&lt;/sup&gt; - Energy of Consciousness Healing Treatment on the Physical, Structural, and Thermal Properties of Zinc Chloride"
Q57665979,Coupling between the JULES land-surface scheme and the CCATT-BRAMS atmospheric chemistry model (JULES-CCATT-BRAMS1.0): applications to numerical weather forecasting and the CO&lt;sub&gt;2&lt;/sub&gt; budget in South America
Q57674889,Evaluation of Vegetative Growth Parameters in Biofield Treated Bottle Gourd (&lt;i&gt;Lagenaria siceraria&lt;/i&gt;) and Okra (&lt;i&gt;Abelmoschus esculentus&lt;/i&gt;)
Q57674400,Improved Structural and Functional Integrity of Bone Health Parameters After Treatment with Consciousness Energy Treated Vitamin D&lt;sub&gt;3&lt;/sub&gt;
Q57674515,Immunological Effects of Biofield Energy Healing (The Trivedi Effect&lt;sup&gt;®&lt;/sup&gt;) Based Novel Herbomineral Formulation After Oral Administration in Male &lt;i&gt;Sprague Dawley&lt;/i&gt; Rats
Q57674797,Impact of Biofield Energy Treated Herbomineral Formulation (The Trivedi Effect&lt;sup&gt;®&lt;/sup&gt;) on Mouse Dendritic and Splenocyte Cells for Modulation of Pro-inflammatory Cytokines
Q57674670,"Influence of the Biofield Energy Healing Treatment on Physicochemical, Thermal and Behavioral Properties of Ashwagandha (&lt;i&gt;Withania somnifera&lt;/i&gt;) Root Extract"
Q57674641,"LC-MS, GC-MS, and NMR Spectroscopy Based Evaluation of the Energy of Consciousness Healing Treated &lt;i&gt;Withania somnifera&lt;/i&gt; (Ashwagandha) Root Extract"
Q57709445,Energetic particle measurements from the &lt;I&gt;Ulysses&lt;/I&gt;/COSPIN/LET instrument obtained during the August/September 2005 events
Q57733281,"Mapping argillic and advanced argillic alteration in volcanic rocks, quartzites, and quartz arenites in the western Richfield 1&deg; x 2 &deg; quadrangle, southwestern Utah, using ASTER satellite data"
Q57736298,"Ocean acidification does not affect magnesium composition or dolomite formation in living crustose coralline algae, &lt;i&gt;Porolithon onkodes&lt;/i&gt; in an experimental system"
Q57775755,Geochemistry of PM&lt;sub&gt;10&lt;/sub&gt; over Europe during the EMEP intensive measurement periods in summer 2012 and winter 2013
Q57866067,A novel 29 bp insertion/deletion (indel) variant of the &lt;i&gt;LHX3&lt;/i&gt; gene and its influence on growth traits in four sheep breeds of various fecundity
Q57866142,Analysis of CO&lt;sub&gt;2&lt;/sub&gt; mole fraction data: first evidence of large-scale changes in CO&lt;sub&gt;2&lt;/sub&gt; uptake at high northern latitudes
Q57858379,"Arc volcanism, carbonate platform evolution and palaeo-atmospheric CO&lt;sub&gt;2&lt;/sub&gt;: Components and interactions in the deep carbon cycle"
Q57855556,Brief Communication: A low-cost Arduino&lt;sup&gt;®&lt;/sup&gt;-based wire extensometer for earth flow monitoring
Q57869249,Can biomonitors effectively detect airborne benzo[&lt;i&gt;a&lt;/i&gt;]pyrene? An evaluation approach using modelling
Q57849735,"Constructions and Properties of General (&lt;i&gt;k, n&lt;/i&gt;) Block-Based Progressive Visual Cryptography"
Q57872128,Dependence of sandpile avalanche frequency–size distribution on coverage extent and compactness of embedded toppling threshold heterogeneity: implications for the variation of Gutenberg&ndash;Richter &lt;i&gt;b&lt;/i&gt; value
Q57870281,Detecting moisture transport pathways to the subtropical North Atlantic free troposphere using paired H&lt;sub&gt;2&lt;/sub&gt;O-&lt;i&gt;δ&lt;/i&gt;D in situ measurements
Q57867128,Emissions of biogenic volatile organic compounds and subsequent formation of secondary organic aerosols in a &lt;I&gt;Larix kaempferi&lt;/I&gt; forest
Q57867911,Evaluation of novel SNPs and haplotypes within the &lt;i&gt;ATBF1&lt;/i&gt; gene and their effects on economically important production traits in cattle
Q57866978,Hygroscopic properties of NaCl and NaNO&lt;sub&gt;3&lt;/sub&gt; mixture particles as reacted inorganic sea-salt aerosol surrogates
Q57870787,"Hydrochemical characteristics of hot spring waters in the Kangding district related to the Lushan &lt;i&gt;M&lt;/i&gt;&lt;sub&gt;S&lt;/sub&gt; = 7.0 earthquake in Sichuan, China"
Q57868655,In situ measurements of O&lt;sub&gt;2&lt;/sub&gt; and CO eq.  in cement kilns
Q57834218,"Model–measurement comparison of functional group abundance in &lt;i&gt;&alpha;&lt;/i&gt;-pinene and 1,3,5-trimethylbenzene secondary organic aerosol formation"
Q57869476,New insight into the spatiotemporal variability and source apportionments of C&lt;sub&gt;1&lt;/sub&gt;–C&lt;sub&gt;4&lt;/sub&gt; alkyl nitrates in Hong Kong
Q57865911,On the potential of the ICOS atmospheric CO&lt;sub&gt;2&lt;/sub&gt; measurement network for estimating the biogenic CO&lt;sub&gt;2&lt;/sub&gt; budget of Europe
Q57866244,Nutritional quality of kermes oak (&lt;i&gt;Quercus coccifera&lt;/i&gt; L.) acorns as affected by altitude in a typical Mediterranean area
Q57867631,"OMI tropospheric NO&lt;sub&gt;2&lt;/sub&gt; profiles from cloud slicing: constraints on surface emissions, convective transport and lightning NO&lt;sub&gt;&lt;i&gt;x&lt;/i&gt;&lt;/sub&gt;"
Q57865898,Ozone and NO&lt;sub&gt;&lt;i&gt;x&lt;/i&gt;&lt;/sub&gt; chemistry in the eastern US: evaluation of CMAQ/CB05 with satellite (OMI) data
Q57868452,Oxygen transport in epitaxial SrTiO&lt;sub&gt;3&lt;/sub&gt;/SrTi&lt;sub&gt;1 − &lt;i&gt;x&lt;/i&gt;&lt;/sub&gt;Fe&lt;sub&gt;&lt;i&gt;x&lt;/i&gt;&lt;/sub&gt;O&lt;sub&gt;3&lt;/sub&gt; multilayer stacks
Q57866366,The impact of parameterising light penetration into snow on the photochemical production of NO&lt;sub&gt;&lt;i&gt;x&lt;/i&gt;&lt;/sub&gt; and OH radicals in snow
Q57866299,"Variant &lt;i&gt;GDF9&lt;/i&gt; mRNA is likely not the main cause of larger litter size in Iranian Lori-Bakhtyari, Shal, Ghezel, and Afshari sheep breeds"
Q57884200,"A new set-up for simultaneous high-precision measurements of CO&lt;sub&gt;2&lt;/sub&gt;, &lt;i&gt;δ&lt;/i&gt;&lt;sup&gt;13&lt;/sup&gt;C-CO&lt;sub&gt;2&lt;/sub&gt; and &lt;i&gt;δ&lt;/i&gt;&lt;sup&gt;18&lt;/sup&gt;O-CO&lt;sub&gt;2&lt;/sub&gt; on smal"
Q57880074,A semi-empirical model for mesospheric and stratospheric NO&lt;sub&gt;&lt;i&gt;y&lt;/i&gt;&lt;/sub&gt; produced by energetic particle precipitation
Q57889928,A regional CO&lt;sub&gt;2&lt;/sub&gt; observing system simulation experiment for the ASCENDS satellite mission
Q57891976,"A novel 17 bp indel in the &lt;i&gt;SMAD3&lt;/i&gt; gene alters transcription level, contributing to phenotypic traits in Chinese cattle"
Q57884897,Abundances of isotopologues and calibration of CO&lt;sub&gt;2&lt;/sub&gt; greenhouse gas measurements
Q57885844,"Accomplishments of the MUSICA project to provide accurate, long-term, global and high-resolution observations of tropospheric {H&lt;sub&gt;2&lt;/sub&gt;O,&lt;i&gt;δ&lt;/i&gt;D} pairs – a review"
Q57889913,Alterations in microbial community composition with increasing &lt;i&gt;f&lt;/i&gt;CO&lt;sub&gt;2&lt;/sub&gt;: a mesocosm study in the eastern Baltic Sea
Q57892946,An internally consistent dataset of &lt;i&gt;δ&lt;/i&gt;&lt;sup&gt;13&lt;/sup&gt;C-DIC in the North Atlantic Ocean – NAC13v1
Q57884501,"Assessment of errors and biases in retrievals of X&lt;sub&gt;CO&lt;sub&gt;2&lt;/sub&gt;&lt;/sub&gt;, X&lt;sub&gt;CH&lt;sub&gt;4&lt;/sub&gt;&lt;/sub&gt;, X&lt;sub&gt;CO&lt;/sub&gt;, and X&lt;sub&gt;N&lt;sub&gt;2&lt;/sub&gt;O&lt;/sub&gt; from a 0.5 cm&"
Q57888908,Assessment of genetic diversity and differentiation of two major camel ecotypes (&lt;i&gt;Camelus dromedarius&lt;/i&gt;) in Sudan using microsatellite markers
Q57895418,Biases in atmospheric CO&lt;sub&gt;2&lt;/sub&gt; estimates from correlated meteorology modeling errors
Q57893366,"Book review: &lt;i&gt;The Illegal City: Space, Law and Gender in a Delhi Squatter Settlement&lt;/i&gt;"
Q57893411,"Book review: &lt;i&gt;Visuelle Geographien: Zur Produktion, Aneignung und Vermittlung von RaumBildern&lt;/i&gt;"
Q57882179,"CCl&lt;sub&gt;4&lt;/sub&gt; distribution derived from MIPAS ESA v7 data: intercomparisons, trend, and lifetime estimation"
Q57881280,Characterisation of boundary layer turbulent processes by the Raman lidar BASIL in the frame of HD(CP)&lt;sup&gt;2&lt;/sup&gt; Observational Prototype Experiment
Q57892983,Chemical composition and mass size distribution of PM&lt;sub&gt;1&lt;/sub&gt; at an elevated site in central east China
Q57895442,Chemical and stable carbon isotopic composition of PM&lt;sub&gt;2.5&lt;/sub&gt; from on-road vehicle emissions in the PRD region and implications for vehicle emission control policy
Q57887393,CO&lt;sub&gt;2&lt;/sub&gt; and nutrient-driven changes across multiple levels of organization in &lt;i&gt;Zostera noltii&lt;/i&gt; ecosystems
Q57889298,"Climate, CO&lt;sub&gt;2&lt;/sub&gt; and human population impacts on global wildfire emissions"
Q57889939,Ciliate and mesozooplankton community response to increasing CO&lt;sub&gt;2&lt;/sub&gt; levels in the Baltic Sea: insights from a large-scale mesocosm experiment
Q57884032,"Comprehensive laboratory and field testing of cavity ring-down spectroscopy analyzers measuring H&lt;sub&gt;2&lt;/sub&gt;O, CO&lt;sub&gt;2&lt;/sub&gt;, CH&lt;sub&gt;4&lt;/sub&gt; and CO"
Q57891597,Constraining a complex biogeochemical model for CO&lt;sub&gt;2&lt;/sub&gt; and N&lt;sub&gt;2&lt;/sub&gt;O emission simulations from various land uses by model–data fusion
Q57884538,"Continuous and high-precision atmospheric concentration measurements of COS, CO&lt;sub&gt;2&lt;/sub&gt;, CO and H&lt;sub&gt;2&lt;/sub&gt;O using a quantum cascade laser spectrometer (QCLS)"
Q57891816,Contribution of Marine Group II &lt;i&gt;Euryarchaeota&lt;/i&gt; to cyclopentyl tetraethers in the Pearl River estuary and coastal South China Sea: impact on the TEX&lt;sub&gt;86&lt;/sub&gt; paleothermometer
Q57884446,Development of automated preparation system for isotopocule analysis of N&lt;sub&gt;2&lt;/sub&gt;O in various air samples
Q57886161,Drought impact on carbon and water cycling in a Mediterranean &lt;i&gt;Quercus suber&lt;/i&gt; L. woodland during the extreme drought event in 2012
Q57882135,Efficient bulk mass accommodation and dissociation of N&lt;sub&gt;2&lt;/sub&gt;O&lt;sub&gt;5&lt;/sub&gt; in neutral aqueous aerosol
Q57884958,"Effects of variation in background mixing ratios of N&lt;sub&gt;2&lt;/sub&gt;, O&lt;sub&gt;2&lt;/sub&gt;, and Ar on the measurement of &lt;i&gt;δ&lt;/i&gt;&lt;sup&gt;18&lt;/sup&gt;O–H&lt;sub&gt;2&lt;/sub&gt;O and &lt;i&gt;δ&lt;/i&gt;&lt;sup&gt;2&"
Q57890553,"Effects of &lt;i&gt;γ&lt;/i&gt;-aminobutyric acid on the tissue structure, antioxidant activity, cell apoptosis, and cytokine contents of bursa of Fabricius in chicks under heat stress"
Q57889469,Evaluating the Community Land Model in a pine stand with shading manipulations and &lt;sup&gt;13&lt;/sup&gt;CO&lt;sub&gt;2&lt;/sub&gt; labeling
Q57886453,Experimental test of the &rho;(1-&alpha;) evolution for rotational discontinuities: cluster magnetopause observations
Q57889606,Extreme N&lt;sub&gt;2&lt;/sub&gt;O accumulation in the coastal oxygen minimum zone off Peru
Q57890250,Experimental diagenesis: insights into aragonite to calcite transformation of &lt;i&gt;Arctica islandica&lt;/i&gt; shells by hydrothermal treatment
Q57885250,First characterization and validation of FORLI-HNO&lt;sub&gt;3&lt;/sub&gt; vertical profiles retrieved from IASI/Metop
Q57888694,Impact of seawater [Ca&lt;sup&gt;2+&lt;/sup&gt;] on the calcification and calciteMg / Ca of &lt;i&gt;Amphistegina lessonii&lt;/i&gt;
Q57890442,Increased temperature causes different carbon and nitrogen processing patterns in two common intertidal foraminifera (&lt;i&gt;Ammonia tepida&lt;/i&gt; and &lt;i&gt;Haynesina germanica&lt;/i&gt;)
Q57888887,Interdependencies between temperature and moisture sensitivities of CO&lt;sub&gt;2&lt;/sub&gt; emissions in European land ecosystems
Q57889695,Interannual variability of the atmospheric CO&lt;sub&gt;2&lt;/sub&gt; growth rate: roles of precipitation and temperature
Q57895482,Intercomparing different devices for the investigation of ice nucleating particles using Snomax&lt;sup&gt;®&lt;/sup&gt; as test substance
Q57884799,"Measurement of ambient NO&lt;sub&gt;3&lt;/sub&gt; reactivity: design, characterization and first deployment of a new instrument"
Q57889929,Mechanisms of &lt;i&gt;Trichodesmium&lt;/i&gt; demise within the New Caledonian lagoon during the VAHINE mesocosm experiment
Q57892372,Modelling street level PM&lt;sub&gt;10&lt;/sub&gt; concentrations across Europe: source apportionment and possible futures
Q57892380,"Molecular cloning, sequence identification, polymorphism and association of the porcine &lt;i&gt;SPATS2L&lt;/i&gt; gene"
Q57886607,Outflow of low-energy O&lt;sup&gt;+&lt;/sup&gt; ion beams observed during periods without substorms
Q57891854,Prescribed-burning vs. wildfire: management implications for annual carbon emissions along a latitudinal gradient of &lt;i&gt;Calluna vulgaris&lt;/i&gt;-dominated vegetation
Q57889424,Radiocarbon isotopic evidence for assimilation of atmospheric CO&lt;sub&gt;2&lt;/sub&gt; by the seagrass &lt;i&gt;Zostera marina&lt;/i&gt;
Q57884343,Real time retrieval of volcanic cloud particles and SO&lt;sub&gt;2&lt;/sub&gt; by satellite using an improved simplified approach
Q57881066,Representing the effects of stratosphere–troposphere exchange on 3-D O&lt;sub&gt;3&lt;/sub&gt; distributions in chemistry transport models using a potential vorticity-based parameterization
Q57885658,Retrieval of xCO&lt;sub&gt;2&lt;/sub&gt; from ground-based mid-infrared (NDACC) solar absorption spectra and comparison to TCCON
Q57888821,Response of key stress-related genes of the seagrass &lt;i&gt;Posidonia oceanica&lt;/i&gt; in the vicinity of submarine volcanic vents
Q57881234,SNP analysis reveals estrogen receptor 1 (&lt;i&gt;ESR1&lt;/i&gt;) gene variants associated with laying traits in quails
Q57881108,Spectroscopic evidence of large aspherical &lt;i&gt;β&lt;/i&gt;-NAT particles involved in denitrification in the December 2011 Arctic stratosphere
Q57885420,Space-based NO&lt;sub&gt;&lt;i&gt;x&lt;/i&gt;&lt;/sub&gt; emission estimates over remote regions improved in DECSO
Q57890924,The bivalve &lt;i&gt;Glycymeris planicostalis&lt;/i&gt; as a high-resolution paleoclimate archive for the Rupelian (Early Oligocene) of central Europe
Q57900337,Temperature Dependence of the Electron Transfer in a Mn(II)Mn(III)(&mgr;-OH) Mixed-Valence Manganese Complex
Q57884401,The STRatospheric Estimation Algorithm from Mainz (STREAM): estimating stratospheric NO&lt;sub&gt;2&lt;/sub&gt; from nadir-viewing satellites by weighted convolution
Q57888806,The role of photo- and thermal degradation for CO&lt;sub&gt;2&lt;/sub&gt; and CO fluxes in an arid ecosystem
Q57945837,The Transformation of Europe&apos;s Armed Forces
Q57885783,Twin-cuvette measurement technique for investigation of dry deposition of O&lt;sub&gt;3&lt;/sub&gt; and PAN to plant leaves under controlled humidity conditions
Q57885982,Using atmospheric observations to evaluate the spatiotemporal variability of CO&lt;sub&gt;2&lt;/sub&gt; fluxes simulated by terrestrial biospheric models
Q57889116,Why is &lt;i&gt;Trichodesmium&lt;/i&gt; abundant in the Kuroshio?
Q57984669,"Near-road sampling of PM&lt;sub&gt;2.5&lt;/sub&gt;, BC, and fine particle chemical components in Kathmandu Valley, Nepal"
Q58062898,A &lt;sup&gt;13&lt;/sup&gt;C labelling study on carbon fluxes in Arctic plankton communities under elevated CO&lt;sub&gt;2&lt;/sub&gt; levels
