mapped_to,repository
aedat,https://github.com/neuromorphicsystems/aedat
AEI,https://github.com/janzert/aei
Aeon,https://github.com/logicabrity/aeon
aequitas,https://github.com/dssg/aequitas
aer,https://github.com/eganjs/aer
aerpy,https://github.com/gwappa/python-aerpy
aes,https://github.com/DonggeunKwon/aes
af,https://github.com/pypa/example-project
AFEM,https://github.com/ZibraMax/FEM
aflow,https://github.com/rosenbrockc/aflow
aga,https://github.com/nihilistkitten/aga
agal,https://github.com/gzttech/agal
agave,https://github.com/cuenca-mx/agave
age,https://github.com/jojonas/pyage
agent,https://github.com/chrisseto/Agent
agentMET4FOF,https://github.com/bangxiangyong/agentMET4FOF
agg,https://github.com/RuedigerVoigt/agg
aggr,https://github.com/Daahorst/Aggregator
Aggregator,https://github.com/mommebutenschoen/Aggregator
agile,http://github.com/gabrielfalcao/agile
agnes,https://github.com/rotinov/AGNES
AHRS,https://github.com/Mayitzin/ahrs
ai,https://github.com/Decalogue/ai
A.I,https://github.com/pypa/sampleproject
AICON,https://github.com/Baijianlu/AICON2
aid,https://github.com/utilitynerd/aid
AIDE,https://github.com/AguaClara/aguaclara_design
aikido,https://github.com/doerlbh/aikido
aiml,https://github.com/calysto/aiml
AIMM,https://github.com/hat-open/aimm
aiocoap,https://github.com/chrysn/aiocoap
aiohttp,https://github.com/aio-libs/aiohttp
air,https://github.com/audreyr/air
airpg,https://github.com/michaelgruenstaeudl/airpg
AJAS,https://github.com/swip3798/AJAS
akima,https://github.com/cgohlke/akima
akkadian,https://github.com/gaigutherz/Translating-Akkadian-using-NLP
alabama,http://github.com/felipevolpone/alabama_orm
aladin,https://github.com/RajanDasgupta/aladin
alakazam,https://github.com/Mercerenies/alakazam
albatradis,https://github.com/quadram-institute-bioscience/albatradis
albopictus,https://github.com/kerguler/albopictus
albumentations,https://github.com/albumentations-team/albumentations
alchemical,https://github.com/miguelgrinberg/alchemical
alder,https://github.com/AlderDHT/alder
alert,https://github.com/rehanguha/alert
alf,https://github.com/globocom/alf
alfa,https://github.com/biocompibens/ALFA
alg,https://github.com/shinalone/ALG
algebra,https://github.com/wesselb/algebra
algo,https://github.com/JesperBry/algo
alicat,http://github.com/numat/alicat
alignment,https://github.com/eseraygun/python-alignment
alignparse,https://github.com/jbloomlab/alignparse
AlignQC,https://github.com/jason-weirather/AlignQC
AllanTools,https://github.com/aewallin/allantools
allcopol,https://github.com/AGOberprieler/allcopol
Allegro,https://github.com/Alecyrus/Allegro
ALM,https://github.com/ActMartin/PyALM
alns,https://github.com/N-Wouda/ALNS
aloha,https://github.com/QPod/aloha
alone,https://github.com/AdrienHorgnies/py-singleton
alpha,http://github.com/irfan/alpha
alphashape,https://github.com/bellockk/alphashape
alphatims,https://github.com/MannLabs/alphatims
alpine,https://github.com/AlpineNow/python-alpine-api
als,https://github.com/ruivieira/python-als
alt,https://github.com/kevwo/alt
altimeter,https://github.com/tableau/altimeter
altmetric,https://github.com/lnielsen-cern/python-altmetric
ama,https://github.com/sffjunkie/ama
amap,https://github.com/SainsburyWellcomeCentre/amap-python
AMAT,https://github.com/athulpg007/AMAT
ambiguous,https://github.com/dpep/pyambiguous
ambit,https://github.com/khimaros/ambit
amc,https://github.com/radnut/amc
AMD,https://github.com/SayadPervez/Arduino_Master_Delta
AMDock,https://github.com/Valdes-Tresanco-MS/AMDock
ame,https://github.com/lorranfoliveira/ame
amira,https://github.com/Yelp/amira
Ammonia,https://github.com/GeorgeWang1994/Ammonia
amos,https://github.com/WithPrecedent/amos
AMP,http://github.com/ioguntol/amp
AMPAL,https://github.com/isambard-uob/ampal
ampgo,https://github.com/dschmitz89/ampgo
amplimap,https://github.com/koelling/amplimap
amptk,https://github.com/nextgenusfs/amptk
amt,https://github.com/sdague/amt
an,https://github.com/thorwhalen/ut
anal,https://github.com/averak/anal
Analogy,https://github.com/jmacwan/Analogy
analytic,https://github.com/dishitpala/analytic
analytics,https://github.com/numan/py-analytics
Analyze,https://github.com/Chaboddunamis/analyze
analyzer,https://github.com/llazzaro/analyzer
analyzers,https://github.com/Poorvak/analyzers
andi,https://github.com/scrapinghub/andi
android,https://github.com/ourway/iran
ang,https://github.com/c0ntribut0r/ang
angular,https://github.com/ourway/iran
anhima,https://github.com/alimanfoo/anhima
animapp,https://github.com/sraorao/animapp_conda
animation,https://github.com/bprinty/animation
animats,https://github.com/animatai/ecosystem
anime,https://github.com/SodaCookie/anime
animus,https://github.com/Scitator/animus
aniposelib,https://github.com/lambdaloop/aniposelib
ann,https://github.com/rasbt/deep-learning-book
anncolvar,https://github.com/spiwokv/anncolvar
anndata,https://github.com/theislab/anndata
annex,https://github.com/gmjosack/annex
anno,https://github.com/gwgundersen/anno
ANNOgesic,https://github.com/Sung-Huan/ANNOgesic
annot,https://github.com/mclaffey/annot
annotate,https://github.com/karpierz/annotate
annotations,http://github.com/tyarkoni/annotations
annoy,https://github.com/spotify/annoy
anonymous,https://github.com/meherett/anonymous
anova,https://github.com/thorwhalen/tcw
ans,https://github.com/omid-b/ans
ansi,https://github.com/tehmaze/ansi
antibiotics,https://github.com/derrickturk/antibiotics
antispam,http://github.com/dinever/antispam
ants,https://github.com/mymusise/ants
antspynet,https://github.com/ANTsX/ANTsPyNet
AnyPyTools,https://github.com/AnyBody-Research-Group/AnyPyTools
aoctools,https://github.com/klittlepage/aoctools
aos,https://github.com/ofnote/aos
ap,https://github.com/nathforge/ap
apc,http://github.com/JonasHarnau/apc
ape,http://github.com/henzk/ape
APEC,https://github.com/QuKunLab/APEC
apg,https://github.com/n0nSmoker/apg
Aphid,https://github.com/robertkearns/Aphid
apikey,http://github.com/ulf1/apikey
apis,http://github.com/lensacom/apis
APMonitor,https://github.com/APMonitor/apm_python
apollo,https://github.com/galaxy-genome-annotation/python-apollo
appdirs,http://github.com/ActiveState/appdirs
applicake,https://github.com/applicake-tools/applicake
apply,https://github.com/stefanholek/apply
approx,https://github.com/ivanovmg/approx
aps,http://github.com/ishxiao/aps
APScheduler,https://github.com/agronholm/apscheduler
Aptus,http://github.com/nedbat/aptus
apyori,https://github.com/ymoch/apyori
aqua,https://github.com/jeffthorne/aqua-py
aquacrop,https://github.com/thomasdkelly/aquacrop
ar,http://github.com/vidstige/ar
ara,https://github.com/ansible-community/ara
Arabic,https://github.com/disooqi/Arabic
Arachne,https://github.com/kirankoduru/arachne
Arase,https://github.com/mattkjames7/Arase
arboreto,https://github.com/aertslab/arboreto
arc,https://github.com/charlex/arc
arcade,https://github.com/pythonarcade/arcade
arcane,https://github.com/brenodega28/arcane
arch,https://github.com/bashtage/arch
arche,http://github.com/scrapinghub/arche
archetypes,https://github.com/aleixalcacer/archetypes
architect,https://github.com/maxtepkeev/architect
archon,https://github.com/JasperStam/archon
arduino,https://github.com/T-K-233/arduino-python
arena,https://github.com/frnsys/arena
ares,https://github.com/barnumbirr/ares#buy-me-a-coffee
arg,https://github.com/abranhe/argsTo
argali,https://github.com/AaronHonour/argali
argos,https://github.com/titusjan/argos
argparse,https://github.com/ThomasWaldmann/argparse
argparse2tool,https://github.com/hexylena/argparse2tool
argutils,https://github.com/eclarke/argutils
argv,https://github.com/chbrown/argv
argyle,https://github.com/mlavin/argyle
aria,https://github.com/letscan/aria
ariadne,https://github.com/mirumee/ariadne
ariba,https://github.com/sanger-pathogens/ariba
Arpeggio,https://github.com/textX/Arpeggio
arr,https://github.com/muma7490/ARR
Arrays,https://github.com/S0FTY/Arrays
arrow,https://github.com/arrow-py/arrow
arrowhead,https://github.com/zyga/arrowhead
art,https://github.com/sepandhaghighi/art
articles,https://github.com/svpino/articles
arules,https://github.com/windward-ltd/arules
arviz,http://github.com/arviz-devs/arviz
ascii,https://github.com/mkaminsky11/ascii
asd,https://github.com/voidpp/asd
asdf,https://github.com/asdf-format/asdf
asg,https://github.com/aidangoettsch/asg
Ash,https://github.com/dangmai/python-ash
ASIO,https://github.com/fuzeman/ASIO
ASMO,https://github.com/airobots/asmo_python
aspace,https://github.com/polkmetadatalib/aspace
aspect,http://github.com/alecthomas/aspect
asq,https://github.com/sixty-north/asq
assay,http://github.com/brandon-rhodes/python-skyfield
Assemble,https://github.com/CorverDevelopment/Assemble
Assembly,https://github.com/mardix/assembly
assembly-stats,https://github.com/MikeTrizna/assembly_stats
assess,https://github.com/stephankramer/assess
assigner,https://github.com/redkyn/assigner
associations,https://github.com/pypa/associations
AST,https://github.com/yijunyu/needle
astar,http://github.com/jrialland/python-astar
aster,https://github.com/seiyanuta/aster
asterix,https://github.com/hkupty/asterix
astra,https://github.com/armalux/astra
astral,https://github.com/sffjunkie/astral
astrolabe,https://github.com/cyberdelia/astrolabe
Atest,https://github.com/Asdil/Atest
aText,http://github.com/sjskdas/aText
athena,https://github.com/datadudes/athena
Athene,https://github.com/lvzii/Athene
atomate,https://github.com/hackingmaterials/atomate
atp,https://github.com/amrali/atp
attune,https://github.com/wright-group/attune
aud,https://github.com/zdhoward/aud
auDeep,https://github.com/auDeep/auDeep
audioread,https://github.com/sampsyo/audioread
audition,https://github.com/rowanc1/audition
aug,https://github.com/cta-ai/aug
Augment,https://github.com/thoughtnirvana/augment
Augmentor,https://github.com/mdbloice/Augmentor
augustus,https://github.com/pypa/sampleproject
auk,http://github.com/IwoHerka/auk
aura,https://github.com/polyaxon/plutus
aureus,https://github.com/YouwangDeng/aureus
Auriga,https://github.com/mkounkel/Auriga
aurora,https://github.com/simpeg/aurora
Authcode,http://github.com/jpscaletti/authcode
autocbei,https://github.com/atlasbioinfo/CRISPR-CBEI
autocomplete,https://github.com/rodricios/autocomplete
autoconf,https://github.com/rhayes777/PyAutoConf
autocorr,https://github.com/scikit-beam/autocorr
autocorrect,https://github.com/fsondej/autocorrect
autodock,https://github.com/prologic/autodock
autofeat,https://github.com/cod3licious/autofeat
autofit,https://github.com/rhayes777/AutoFit
AuToGraFS,https://github.com/DCoupry/autografs
autolab,https://github.com/qcha41/autolab
automap,https://github.com/brandtbucher/automap
Automat,https://github.com/glyph/Automat
automated,https://github.com/gabrielfern/automated-leda-tasks
automatic,https://github.com/KyleARector/automatic
automation,https://github.com/dustinfarris/automation
automlsa2,https://github.com/davised/automlsa2
AutoQuant,https://github.com/marcnuth/AutoQuant
autoreject,https://github.com/autoreject/autoreject
AutoSite,https://github.com/dotcomboom/AutoSite
autotag,https://github.com/jvalansi/autotag
autotagger,https://github.com/reorx/autotagger
AutoTS,https://github.com/winedarksea/AutoTS
av,https://github.com/conda-forge/av-feedstock
avantage,https://github.com/decached/avantage
Avatar,https://github.com/greyli/avatar
Avenue,https://github.com/CorverDevelopment/Avenue
average,https://github.com/crowsonkb/average
avogadro,https://github.com/OpenChemistry/avogadrolibs
awg,https://github.com/kianxineki/automatic_web_generator
awk,https://github.com/SimoneBronzini/awk
aws,https://github.com/eofs/aws
awscli,https://github.com/aws/aws-cli
ax,https://github.com/enf644/ax
Axe,https://github.com/soasme/axe
axiom,https://github.com/twisted/axiom
axis,https://github.com/Kane610/axis
AxonDeepSeg,https://github.com/neuropoly/axondeepseg
azure,https://github.com/Azure/azure-sdk-for-python
azure-iot-device,https://github.com/Azure/azure-iot-sdk-python
ba,https://github.com/thorwhalen/ut
babar,https://github.com/samuela/babar
BacAnt,https://github.com/xthua/bacant
backprop,https://github.com/backprop-ai/backprop
backtrack,https://github.com/Coal0/backtrack
backward,https://github.com/gidona18/backward
bacolonyzer,https://github.com/judithbergada/bacolonyzer
bacon,https://github.com/aholkner/bacon
BacterialTyper,https://github.com/HCGB-IGTP/BacterialTyper
bagpipe,https://github.com/landier/bagpipe
baidumap,https://github.com/cpak00/baidumap
Balert,https://github.com/tushar-rishav/balert
bali,https://github.com/mtngt/bali
Ball,https://github.com/Mamba413/Ball
ballet,https://github.com/ballet/ballet
balrog,https://github.com/paylogic/balrog
baltic,https://github.com/evogytis/baltic
bam2fasta,https://github.com/czbiohub/bam2fasta
bambi,http://github.com/bambinos/bambi
Bambino,http://github.com/SurveyMonkey/Bambino
bamboo,https://github.com/synack/bamboo
bamsnap,https://github.com/danielmsk/bamsnap
band,https://github.com/sunyancn/band
bandage,https://github.com/perpetualCreations/bandage
bandicoot,https://github.com/computationalprivacy/bandicoot
bank,https://github.com/ourway/bank
bar,https://github.com/utdemir/bar
barcode,https://github.com/jfjlaros/barcode
barnaba,https://github.com/srnas/barnaba
barrier,https://github.com/gadventures/barrier
barrnap,https://github.com/nickp60/barrnap
barseq,https://github.com/mjmlab/barseq
bas,https://github.com/youkaclub/bas
baseline,https://github.com/dmgass/baseline
basemap,https://github.com/matplotlib/basemap
bash,https://github.com/alexcouper/bash
bat,https://github.com/SuperCowPowers/zat
batch,https://github.com/moomoohk/batch.py
batchelor,https://github.com/ritzKraka/python-batchelor
BatchTINTV3,https://github.com/HussainiLab/BatchTINTV3
batchtools,https://github.com/corticometrics/batchtools
batik,https://github.com/batik-informat/batik
Batman,https://github.com/realgeeks/batman
baton,https://github.com/wtsi-hgi/python-baton-wrapper
BATS,https://github.com/ContaTP/BATS-Bayesian-Adaptive-Trial-Simulator
battery,https://github.com/keyurgolani/utilities-python
Baubles,https://github.com/eddo888/baubles
baycomp,https://github.com/janezd/baycomp
bayes,http://github.com/gjcourt/bayes
BayesASE,https://github.com/McIntyre-Lab/BayesASE
bayesopt,https://github.com/rmcantin/bayesopt
BBA,https://github.com/TheGenocides/BBA
bbknn,https://github.com/Teichlab/bbknn
BBN,https://github.com/tt-nakamura/BBN
bc,https://github.com/pypa/sampleproject
bcbio-gff,https://github.com/chapmanb/bcbb
bcbio-nextgen,https://github.com/bcbio/bcbio-nextgen
bcdi,https://github.com/carnisj/bcdi
bcf,https://github.com/bigclownlabs/bch-firmware-tool
bcl,https://github.com/nthparty/bcl
bcloud,https://github.com/LiuLang/bcloud
bCNC,https://github.com/vlachoudis/bCNC
BCO,https://github.com/tmachnitzki/BCO
bcp,https://github.com/fivestack/bcp
bcrypt,https://github.com/pyca/bcrypt
bctpy,https://github.com/aestrivex/bctpy
bda,https://github.com/HERA-Team/baseline_dependent_averaging
BDT,https://github.com/fpiedrah/BDT
be,https://github.com/mottosso/be
beagle,https://github.com/beaglecli/beagle
bear,https://github.com/kouroshparsa/bear
beat,https://github.com/tonyskapunk/beat
beatboxer,https://github.com/crumpstrr33/beatboxer
Beaver,http://github.com/python-beaver/python-beaver
bed,https://github.com/sdushantha/bed
beditor,https://github.com/rraadd88/beditor
bedserver,http://github.com/drio/bedserver
beeline,https://github.com/mattian7741/zulu
Beeswarm,https://github.com/honeynet/beeswarm
Beetle,https://github.com/cknv/beetle
Beetroot,https://github.com/CuboidRaptor/Python-Beetroot
BenchExec,https://github.com/sosy-lab/benchexec
bert,https://github.com/samuel/python-bert
bertha,http://github.com/bwesterb/py-bertha
bespoke,https://github.com/alvations/hello
BESST,https://github.com/ksahlin/BESST
best,https://github.com/treszkai/best
bet,https://github.com/UT-CHG/BET
bezier,https://github.com/dhermes/bezier
bf,https://github.com/BlackEarth/bf
BFEE2,https://github.com/fhh2626/BFEE2
bff,https://github.com/axelfahy/bff
bfilter,https://github.com/sysatom/python-bloom-filter
bfit,https://github.com/dfujim/bfit
bftools,https://github.com/BobDotCom/bftools
bg,https://github.com/aganezov/bg
bgen,https://github.com/jeremymcrae/bgen
bg-space,https://github.com/brainglobe/bg-space
bgzip,https://github.com/xbrianh/bgzip
bh,https://github.com/thorwhalen/ut
BHC,https://github.com/Eric-Su-2718/STA663-Final-Project
bhtsne,https://github.com/dominiek/python-bhtsne
bias,https://github.com/thorwhalen/ut
bibexcel,http://github.com/storopoli/bibexcel
bibtexparser,https://github.com/sciunto-org/python-bibtexparser
bidsify,https://github.com/spinoza-rec/bidsify
BiEntropy,https://github.com/sandialabs/bientropy
bifixer,https://github.com/bitextor/bifixer
bigbrain,https://github.com/gmischl1/bigbrain
BigchainDB,https://github.com/BigchainDB/bigchaindb
biggest,https://github.com/ESultanik/biggest
BigJob,https://github.com/saga-project/BigJob
bigmax,http://github.com/upcnet/bigmax
BigNumber,https://github.com/GlobalCreativeCommunityFounder/BigNumber
BigQuery-Python,https://github.com/tylertreat/BigQuery-Python
bigraph,https://github.com/bi-graph/bigraph
bigsi,http://github.com/phelimb/bigsi
bilbo,https://github.com/thespacedoctor/bilbo
Bilu,https://github.com/maikomjames/bilu
bim,https://github.com/google-research-datasets/bim
binary,https://github.com/ofek/binary
binding,https://github.com/zauberzeug/binding
bindr,http://github.com/chrisrink10/bindr
bing,https://github.com/idin/bing
bingo,https://github.com/oscarolar/bingo
Binning-refiner,https://github.com/songweizhi/Binning_refiner
binomialRF,https://github.com/SamirRachidZaim/binomialRF.py
binpacker,https://github.com/pkuong/binpacker
Binsanity,https://github.com/edgraham/BinSanity
binvox,https://github.com/faridyagubbayli/binvox
bio,https://github.com/ialbert/bio
biobox,https://github.com/degiacom/biobox
bioc,https://github.com/bionlplab/bioc
BioCAT,https://github.com/DanilKrivonos/BioCAT
BioCircos,https://github.com/djh1991/BioCircos
biocode,http://github.com/jorvis/biocode
bioconda2biocontainer,https://github.com/BioContainers/bioconda2biocontainer
biocyc,https://github.com/mfitzp/biocyc
BioDendro,https://github.com/ccdmb/BioDendro
BioExp,https://github.com/koriavinash1/BioExp
BioFlow,https://github.com/chiffa/BioFlow
BioGraph,https://github.com/sooheon/BioGraph
BioID,https://github.com/LeeBergstrand/BioID
bioinfokit,https://github.com/reneshbedre/bioinfokit
bioinformatics,http://github.com/chembiodrew/bioinformatics
biomart,https://github.com/sebriois/biomart
biomass,https://github.com/biomass-dev/biomass
BioMetaDB,https://github.com/cjneely10/BioMetaDB
BioMine,https://github.com/AdamDS/BioMine
biopandas,https://github.com/rasbt/biopandas
biopipe,https://github.com/dohlee/python-biopipe
bioportal,https://github.com/jmzg1229/bioportal-apis
bioprinter,https://github.com/Edinburgh-Genome-Foundry/bioprinter
BioPro,https://github.com/Crazy-Jack/SuperdopeBioinformatics
biopy,https://github.com/BioPyTeam/biopy
biopy-isatab,https://github.com/ISA-tools/biopy-isatab
biopython,https://github.com/biopython/biopython
bioread,https://github.com/uwmadison-chm/bioread
BioSequences,https://github.com/Dragon-GCS/BioSequence
bioservices,http://github.com/cokelaer/bioservices
BioSignalML,https://github.com/dbrnz/biosignalml-corelib
biotite,https://github.com/biotite-dev/biotite
biotools,https://github.com/sonwell/biotools
biotracks,https://github.com/CellMigStandOrg/biotracks
BIP,https://github.com/fccoelho/bayesian-inference
bird,https://github.com/mmoussallam/bird
birdseye,http://github.com/alexmojaki/birdseye
bison,https://github.com/edaniszewski/bison
bit,https://github.com/ofek/bit
bitarray,https://github.com/ilanschnell/bitarray
bitcoin,http://github.com/vbuterin/pybitcointools
bitmap,https://github.com/wanji/bitmap
black,https://github.com/psf/black
Blackboard,https://github.com/0xJeremy/Blackboard
blackbox,https://github.com/proxypoke/blackbox_IRC-macros
blackjack,http://github.com/MostAwesomeDude/blackjack
blast,http://github.com/kwlzn/blast
blaster,https://github.com/ryankwilliams/blaster
Blend,http://github.com/azavea/blend
blender,https://github.com/uzairakbar/blender/archive/v1.4.tar.gz
bless,https://github.com/kevincar/bless
blimp,https://github.com/getblimp/blimp-python
blm,https://github.com/famura/blm
BlobDetector,https://github.com/migurski/Blobdetector
Bloch,http://github.com/migurski/Bloch
block,https://github.com/bamos/block
blockchain,https://github.com/blockchain/api-v1-client-python/releases/tag/1.4.3
blocker,https://github.com/aglitke/blocker
blocks,https://github.com/g2p/blocks
blog,https://github.com/tomleo/blog
blosc,http://github.com/blosc/python-blosc
blowfish,https://github.com/jashandeep-sohi/python-blowfish
Blowout,https://github.com/joelfrederico/Blowout
blue,https://github.com/grantjenks/blue
Bluebook,https://github.com/mardix/pylot
bluepy,https://github.com/IanHarvey/bluepy
bluepyopt,https://github.com/BlueBrain/BluePyOpt
bluesky,https://github.com/bluesky/bluesky
BM25,https://github.com/jllan/jannlp
bmd,https://github.com/maralla/bmd
bmm,http://github.com/SamDuffield/bmm
bms,http://github.com/masfaraud/BMSpy
BMSS,https://github.com/EngBioNUS/BMSS2
bmtools,http://github.com/ipselium/bmtools
bngl,https://github.com/bstadt/bngl
bnlearn,https://github.com/erdogant/bnlearn
bnpy,https://github.com/bnpy/bnpy
board,https://github.com/tjguk/dojo-board
bodybuilder,https://github.com/alexsanjoseph/bodybuilder
BOFdat,https://github.com/jclachance/BOFdat
bokeh,https://github.com/bokeh/bokeh
bold,https://github.com/fillest/bold
bomb,https://github.com/dexbol/bomb
BondGraphTools,https://github.com/BondGraphTools/BondGraphTools
Bookmark,https://github.com/Daroth/Bookmark-v2
boolean,https://github.com/scisco/boolean
BooleanNet,https://github.com/ialbert/booleannet
boolsim,https://github.com/colomoto/boolSim-python
bootstrap4,https://github.com/encode/bootstrap4
bootstrap-stat,https://github.com/rwilson4/bootstrap-stat
bop,http://github.com/eddieantonio/bop
borderline,https://github.com/ctk3b/borderline
Boris,http://github.com/e-dard/boris
Boruta,https://github.com/danielhomola/boruta_py
bosh,https://github.com/bigobject-inc/bosh
Bother,https://github.com/bunburya/bother
boto,https://github.com/boto/boto
boto3,https://github.com/boto/boto3
botocore,https://github.com/boto/botocore
botox,https://github.com/bitprophet/botox
Bottleneck,https://github.com/pydata/bottleneck
boutiques,http://github.com/boutiques/boutiques
bowtie,https://github.com/jwkvam/bowtie
Box2D,http://github.com/pybox2d/pybox2d
boxer,https://github.com/bradleygolden/boxer
bp,https://github.com/binpack/binpack-python
bpipe,https://github.com/jepemo/basic-pipeline
bpmodels,https://github.com/PKU-NIP-Lab/BrainPy-Models
bpp,https://github.com/kgori/bpp
bp-utils,https://github.com/inteferex/bp-utils
br,http://github.com/MrmacHD/BR
brain,http://github.com/Manticore/brain
Braindecode,https://github.com/braindecode/braindecode
brainglobe,https://github.com/brainglobe/brainglobe
brainlit,https://github.com/neurodata/brainlit
BrainML,https://github.com/bogdan124/BrainML
brainrender,https://github.com/brainglobe/brainrender
brainSimulator,https://github.com/SiPBA/brainSimulator
brainstorm,https://github.com/IDSIA/brainstorm
Brainy,http://github.com/joelbm24/brainy
brama,https://github.com/kolyaflash/brama
Brat,https://github.com/iamsk/brat
Bravo,http://github.com/MostAwesomeDude/bravo
breakdancer,http://github.com/dustin/breakdancer
breathe,https://github.com/michaeljones/breathe
BrewPi,https://github.com/brewpi-remix/brewpi
Brian2,https://github.com/brian-team/brian2
Brian2GeNN,http://github.com/brian-team/brian2genn
brian2modelfitting,https://github.com/brian-team/brian2modelfitting
briekit,https://github.com/huangyh09/briekit
brm,https://github.com/isidentical/brm
broom,https://github.com/umluizlima/broom
Brotli,https://github.com/google/brotli
Brownie,http://github.com/DasIch/brownie
browser,https://github.com/frnsys/browser
brt,https://github.com/paris0120/brt
bruker,https://github.com/dvm-shlee/bruker
bruker2nifti,https://github.com/SebastianoF/bruker2nifti
BSG,https://github.com/mvfki/BullshitGenerator
BSPM,https://github.com/jerrymarshall2004/BeatSaberPythonMapper
BTM,https://github.com/shuzhao-li/BTM
btn,http://github.com/AllSeeingEyeTolledEweSew/btn
btrack,https://github.com/quantumjot/BayesianTracker
bts,https://github.com/pch957/python-bts
btw,https://github.com/bidetaggle/btw
bubblegum,https://github.com/azuline/bubblegum
bucky,http://github.com/trbs/bucky
bud,https://github.com/hoffmann/bud
buddy,https://github.com/pior/buddy
Buffy,https://github.com/karimbahgat/Buffy
bugzilla,https://github.com/gdestuynder/simple_bugzilla
build,https://github.com/pypa/build
builder,http://github.com/deepfield/builder
build.py,https://github.com/Ma124/build.py
buildr,https://github.com/mrasband/builder_ci
BuilT,https://github.com/UoA-CARES/BuilT
BulkSMS,http://github.com/dw/py-bulksms
bump,https://github.com/di/bump
bunch,http://github.com/dsc/bunch
buster,https://github.com/axitkhurana/buster
bustools,https://github.com/FlyingCampDesign/bustools
BusyBox,https://github.com/AngelovLee/BusyBox
butterfly,https://github.com/paradoxxxzero/butterfly
bwa,https://github.com/somniumism/bwa
bwplot,https://github.com/eng-tools/bwplot
bx,https://github.com/tylucaskelley/bx-python
bx-python,https://github.com/bxlab/bx-python
by,https://github.com/thorwhalen/ut
bycycle,https://github.com/bycycle-tools/bycycle
c,https://github.com/1337/c
C2D,https://github.com/chavarera/C2D
c302,http://github.com/openworm/c302
c3d,http://github.com/EmbodiedCognition/py-c3d
CaaS,https://github.com/MayurDeshmukh10/CaaS
cacao,https://github.com/euanrussano/cacao
Cactus,http://github.com/koenbok/Cactus
cadCAD,https://github.com/cadCAD-org/cadCAD
caddie,https://github.com/kailashbuki/caddie
CADET,https://github.com/modsim/CADET-Python
cadnano,https://github.com/cadnano/cadnano2.5
CADS,https://github.com/carmelosammarco/CADS
cafe,https://github.com/lin-justin/cafe
CAI,https://github.com/Benjamin-Lee/CodonAdaptationIndex
cairocffi,https://github.com/Kozea/cairocffi
CairoSVG,https://github.com/Kozea/CairoSVG
CAL,https://github.com/Tapyr/tapyr
calculate-expression,https://github.com/GoodManWEN/calculate_expression
calculation,https://github.com/krushithreddy/calculation
Calculations,https://github.com/cMneth/calculations
calculus,https://github.com/vivek3141/calculus
calib,https://github.com/lipixun/pyca
calibrate,https://github.com/ginkgobioworks/calibrate
Calima,https://github.com/timutta/pycalima
caliper,https://github.com/vsoch/caliper
call,https://github.com/zyga/call
caller,https://github.com/vtitor/caller
