qid,doi,wdLicenseQID
Q89122247,10.1111/CTR.13295,2018-06-15T00:00:00Z
Q89122473,10.1002/MP.13053,2018-06-16T00:00:00Z
Q89122500,10.1111/DME.13761,2018-07-04T00:00:00Z
Q89126843,10.1007/S40261-018-0658-9,2018-08-01T00:00:00Z
Q89127032,10.1007/S10803-018-3643-5,2018-11-01T00:00:00Z
Q89127159,10.1007/S11695-018-3342-5,2018-09-01T00:00:00Z
Q89127204,10.1007/S10695-018-0527-8,2018-06-16T00:00:00Z
Q89127259,10.1007/S11356-018-2509-X,2018-06-16T00:00:00Z
Q89127436,10.1007/S11010-018-3377-X,2018-06-16T00:00:00Z
Q89127450,10.1007/S00228-018-2503-8,2018-06-16T00:00:00Z
Q89127492,10.1007/S10295-018-2041-5,2018-06-16T00:00:00Z
Q89472128,10.3791/56452,2018-06-15T00:00:00Z
Q91111084,10.1007/S12291-018-0766-6,2018-06-16T00:00:00Z
Q91155174,10.21037/MPS.2018.05.01,2018-06-11T00:00:00Z
Q113393420,10.1111/MAEC.12497,2018-06-16T00:00:00Z
Q114616042,10.1134/S1024856018030077,2018-05-01T00:00:00Z
Q115356800,10.21037/AOB.2018.05.04,2018-06-01T00:00:00Z
Q55312924,10.1186/S12934-018-0941-8,2018-06-16T00:00:00Z
Q55364929,10.3348/KJR.2018.19.4.724,2018-06-14T00:00:00Z
Q55407093,10.3348/KJR.2018.19.4.777,2018-06-14T00:00:00Z
Q55438686,10.3348/KJR.2018.19.4.809,2018-06-14T00:00:00Z
Q55556068,10.12659/MSM.908056,2018-06-16T00:00:00Z
Q56537471,10.1111/HEPR.13205,2018-06-16T00:00:00Z
Q56865120,10.1093/MOLBEV/MSY124,2018-06-19T00:00:00Z
Q57086782,10.1007/S00253-018-9156-5,2018-06-16T00:00:00Z
Q57178629,10.1016/S1474-4422(18)30169-8,2018-07-01T00:00:00Z
Q57752789,10.1515/HSZ-2018-0205,2018-10-01T00:00:00Z
Q57784147,10.1002/ANIE.201802979,2018-07-24T00:00:00Z
Q59315852,10.1210/JC.2018-00482,2018-08-01T00:00:00Z
Q59358634,10.1111/IRV.12584,2018-07-05T00:00:00Z
Q59358642,10.1007/S12560-018-9351-7,2018-06-16T00:00:00Z
Q60709801,10.1007/S10291-018-0744-8,2018-06-16T00:00:00Z
Q64376943,10.1007/S10753-018-0802-Y,2018-08-01T00:00:00Z
Q64973338,10.1007/S00011-018-1164-5,2018-06-16T00:00:00Z
Q88727820,10.1016/J.PDPDT.2018.05.009,2018-06-16T00:00:00Z
Q89122335,10.1002/CBIN.11015,2018-07-08T00:00:00Z
Q89122404,10.1111/JOOR.12679,2018-06-28T00:00:00Z
Q89122648,10.1515/HSZ-2018-0209,2018-09-01T00:00:00Z
Q89122651,10.1515/HSZ-2018-0217,2019-01-01T00:00:00Z
Q89126750,10.1074/JBC.RA118.003835,2018-06-16T00:00:00Z
Q89126764,10.1161/JAHA.118.008843,2018-06-16T00:00:00Z
Q89126867,10.1007/S00383-018-4299-0,2018-06-16T00:00:00Z
Q89127006,10.1007/S11136-018-1918-0,2018-06-16T00:00:00Z
Q89127424,10.1007/S00253-018-9136-9,2018-06-16T00:00:00Z
Q89127473,10.1007/S11682-018-9892-2,2019-08-01T00:00:00Z
Q89127504,10.1007/S10897-018-0265-1,2018-06-16T00:00:00Z
Q89128126,10.1080/15548627.2018.1472838,2018-08-01T00:00:00Z
Q89139051,10.1016/J.CHIABU.2018.06.009,2018-06-16T00:00:00Z
Q89142257,10.1016/S1474-4422(18)30207-2,2018-07-01T00:00:00Z
Q89182670,10.1093/BIOINFORMATICS/BTY496,2018-12-01T00:00:00Z
Q89427529,10.1039/C8NR03586E,2018-07-01T00:00:00Z
Q89472403,10.3791/57845,2018-06-15T00:00:00Z
Q90353457,10.1093/CONPHYS/COY034,2018-07-02T00:00:00Z
Q112833299,10.1007/S10764-018-0045-7,2018-06-16T00:00:00Z
Q111891106,10.30585/IRABML.V1I1.58,2018-06-16T00:00:00Z
Q89456672,10.1093/CHROMSCI/BMY063,2018-11-01T00:00:00Z
Q89472304,10.3791/57109,2018-06-15T00:00:00Z
Q114150616,10.1093/NQ/S6-VIII.185.26F,1883-07-14T00:00:00Z
Q91877951,10.15766/MEP_2374-8265.10723,2018-06-15T00:00:00Z
Q115250669,10.7770/SAFER-V6N2-ART1355,2018-07-30T00:00:00Z
Q89122027,10.1007/S00784-018-2511-1,2018-06-16T00:00:00Z
Q89122545,10.1111/JCPE.12960,2018-07-24T00:00:00Z
Q113090287,10.1093/NQ/S1-X.257.272A,2018-06-16T00:00:00Z
Q114632191,10.1093/NQ/S2-XI.265.78F,1861-01-26T00:00:00Z
Q114632259,10.1093/NQ/S11-V.129.469C,1912-06-15T00:00:00Z
Q114632189,10.1093/NQ/S2-XI.280.368H,1861-05-11T00:00:00Z
Q58462924,10.1007/S12369-018-0485-4,2018-06-16T00:00:00Z
Q61735091,10.1007/978-3-319-94544-6_6,2018-01-01T00:00:00Z
Q89127164,10.1007/S11695-018-3343-4,2018-10-01T00:00:00Z
Q114150607,10.1093/NQ/S6-XI.276.289A,1885-04-11T00:00:00Z
Q114951169,10.22214/IJRASET.2018.3156,2018-03-31T00:00:00Z
Q113818266,10.1093/NQ/S6-II.50.479H,1880-12-11T00:00:00Z
